num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
5,0.03125,DEF run m( REPEAT R=15 r( move turnLeft IF c( frontIsClear c) i( move pickMarker move i) turnRight turnLeft IFELSE c( leftIsClear c) i( turnLeft pickMarker turnRight turnLeft turnLeft i) ELSE e( move turnLeft REPEAT R=17 r( pickMarker turnLeft r) e) r) m)
20,0.0625,DEF run m( REPEAT R=15 r( move turnLeft IF c( frontIsClear c) i( turnRight i) turnRight turnLeft IFELSE c( leftIsClear c) i( turnLeft pickMarker turnRight turnLeft turnLeft i) ELSE e( move turnLeft REPEAT R=17 r( pickMarker turnLeft r) e) r) m)
179,0.09375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move pickMarker i) turnLeft move IFELSE c( rightIsClear c) i( pickMarker turnLeft turnRight move turnRight i) ELSE e( pickMarker e) w) w) m)
242,0.125,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( move pickMarker i) turnLeft move IFELSE c( rightIsClear c) i( pickMarker turnLeft turnRight move turnRight i) ELSE e( pickMarker e) w) w) m)
635,0.1875,DEF run m( WHILE c( rightIsClear c) w( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( turnRight move turnLeft w) pickMarker turnRight i) w) m)
6171,0.21875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( move IF c( leftIsClear c) i( IF c( frontIsClear c) i( turnLeft i) turnRight i) WHILE c( markersPresent c) w( pickMarker move w) w) WHILE c( noMarkersPresent c) w( move w) pickMarker move m)
6198,0.3125,DEF run m( turnRight WHILE c( noMarkersPresent c) w( move IF c( noMarkersPresent c) i( IF c( frontIsClear c) i( turnLeft i) turnRight i) WHILE c( markersPresent c) w( pickMarker move w) w) WHILE c( noMarkersPresent c) w( move w) pickMarker move m)
6498,0.375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( frontIsClear c) w( IF c( markersPresent c) i( pickMarker turnRight move move i) move w) w) m)
6500,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( frontIsClear c) w( IF c( markersPresent c) i( turnRight pickMarker turnRight move move i) move w) w) m)
17210,0.46875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( WHILE c( not c( frontIsClear c) c) w( REPEAT R=17 r( turnLeft r) w) WHILE c( markersPresent c) w( turnRight w) move w) pickMarker turnRight turnRight turnRight m)
21674,0.5,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( not c( frontIsClear c) c) w( REPEAT R=17 r( turnLeft r) w) move IF c( leftIsClear c) i( IF c( rightIsClear c) i( turnRight i) turnRight i) turnRight w) pickMarker turnRight m)
