num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
3,0.026041666666666675,DEF run m( move m)
8,0.046875000000000014,DEF run m( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( move turnLeft i) m)
9,0.060763888888888895,DEF run m( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( move move i) m)
11,0.09548611111111112,DEF run m( IF c( frontIsClear c) i( move move REPEAT R=18 r( move turnRight WHILE c( frontIsClear c) w( move move turnRight w) r) i) IF c( frontIsClear c) i( move move i) m)
16,0.10243055555555557,DEF run m( IF c( frontIsClear c) i( move move REPEAT R=18 r( move turnRight WHILE c( frontIsClear c) w( move move turnRight move w) r) i) IF c( frontIsClear c) i( move move i) m)
25,0.11631944444444446,DEF run m( IF c( frontIsClear c) i( move move REPEAT R=18 r( move turnRight move WHILE c( frontIsClear c) w( move move turnRight move w) r) i) IF c( frontIsClear c) i( move move i) m)
44,0.14409722222222224,DEF run m( IF c( frontIsClear c) i( move move REPEAT R=18 r( move turnRight move WHILE c( frontIsClear c) w( move move move turnRight move w) r) i) IF c( frontIsClear c) i( move move i) m)
60,0.15451388888888892,DEF run m( IF c( frontIsClear c) i( move putMarker REPEAT R=18 r( move turnRight move WHILE c( frontIsClear c) w( move move move turnRight move w) r) i) IF c( frontIsClear c) i( move move i) m)
71,0.23437500000000008,DEF run m( IF c( frontIsClear c) i( move putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move move move turnRight move w) r) i) IF c( frontIsClear c) i( move move i) m)
76,0.24652777777777782,DEF run m( IF c( frontIsClear c) i( move putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move move move move w) r) i) IF c( frontIsClear c) i( move move i) m)
92,0.37673611111111127,DEF run m( IF c( frontIsClear c) i( move putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) r) i) IF c( frontIsClear c) i( move move i) m)
98,0.5260416666666669,DEF run m( IF c( frontIsClear c) i( move turnLeft REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) r) i) IF c( frontIsClear c) i( move move i) m)
212,0.6770833333333336,DEF run m( IF c( frontIsClear c) i( move turnLeft REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) turnRight r) i) IF c( frontIsClear c) i( move move i) m)
267,0.7031250000000002,DEF run m( IF c( frontIsClear c) i( turnRight turnLeft REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) turnRight r) i) IF c( frontIsClear c) i( move move i) m)
287,0.7135416666666669,DEF run m( IF c( frontIsClear c) i( turnRight turnLeft REPEAT R=19 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) turnRight r) i) IF c( frontIsClear c) i( move move i) m)
312,0.7795138888888892,DEF run m( IF c( frontIsClear c) i( turnRight turnLeft REPEAT R=19 r( WHILE c( frontIsClear c) w( move w) turnLeft r) i) IF c( frontIsClear c) i( move move i) m)
377,0.8368055555555559,DEF run m( IF c( noMarkersPresent c) i( turnRight turnLeft REPEAT R=19 r( WHILE c( frontIsClear c) w( move w) turnLeft r) i) IF c( frontIsClear c) i( move move i) m)
826,0.8437500000000003,DEF run m( WHILE c( noMarkersPresent c) w( putMarker REPEAT R=19 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move w) m)
844,0.8472222222222225,DEF run m( WHILE c( noMarkersPresent c) w( putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move w) m)
890,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) turnLeft w) m)
1283,0.8559027777777782,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( rightIsClear c) w( turnRight w) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( turnRight putMarker putMarker w) turnLeft move w) m)
2218,0.8663194444444449,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( turnRight putMarker IF c( frontIsClear c) i( move i) w) turnLeft move w) m)
4062,0.8923611111111115,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( putMarker move turnRight w) turnLeft w) m)
7161,0.8923611111111116,DEF run m( IF c( not c( leftIsClear c) c) i( turnLeft i) putMarker REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( putMarker move turnRight w) turnLeft r) m)
