num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
5,0.003125,DEF run m( IF c( frontIsClear c) i( turnRight move pickMarker i) m)
30,0.00625,DEF run m( WHILE c( frontIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( move putMarker i) ELSE e( pickMarker move e) w) m)
62,0.009375000000000001,DEF run m( WHILE c( frontIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( IFELSE c( rightIsClear c) i( turnRight putMarker move i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( pickMarker move e) w) m)
88,0.028125,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( IFELSE c( rightIsClear c) i( turnRight putMarker move i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( pickMarker move e) w) m)
154,0.04375,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( pickMarker move e) w) m)
162,0.05,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( move move e) w) m)
172,0.0625,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( rightIsClear c) i( WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( move move e) w) m)
258,0.06875,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( rightIsClear c) i( WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( pickMarker e) w) m)
697,0.078125,DEF run m( turnRight turnRight WHILE c( rightIsClear c) w( turnRight move IFELSE c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move w) putMarker i) ELSE e( pickMarker move e) w) m)
1678,0.08125,DEF run m( WHILE c( rightIsClear c) w( turnRight move IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move putMarker w) putMarker i) ELSE e( pickMarker WHILE c( frontIsClear c) w( move w) putMarker e) w) m)
2119,0.10625,DEF run m( WHILE c( leftIsClear c) w( turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( move i) w) m)
4495,0.11250000000000002,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=16 r( turnRight WHILE c( frontIsClear c) w( move w) putMarker WHILE c( frontIsClear c) w( move w) r) w) m)
5733,0.11562500000000002,DEF run m( REPEAT R=8 r( putMarker WHILE c( markersPresent c) w( turnRight putMarker WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move putMarker w) putMarker w) r) m)
6122,0.11875000000000001,DEF run m( move WHILE c( leftIsClear c) w( turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) putMarker w) WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( turnRight turnLeft move pickMarker i) w) turnRight m)
6649,0.13437500000000005,DEF run m( putMarker REPEAT R=16 r( turnRight putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) r) WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker w) w) m)
