num_evaluations,best_reward,best_program
1,-0.375,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
4,0.0,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( turnRight i) IF c( rightIsClear c) i( move move i) w) m)
103,0.0625,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( turnRight i) IF c( rightIsClear c) i( move pickMarker i) w) m)
106,0.09375,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( turnRight i) IF c( frontIsClear c) i( move pickMarker i) w) m)
187,0.125,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnLeft e) IFELSE c( markersPresent c) i( pickMarker i) ELSE e( turnRight e) move turnRight w) m)
298,0.1875,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnRight e) IFELSE c( markersPresent c) i( pickMarker i) ELSE e( turnRight e) move turnRight w) m)
389,0.28125,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( WHILE c( frontIsClear c) w( turnLeft w) turnRight move e) IFELSE c( markersPresent c) i( pickMarker i) ELSE e( turnRight e) move turnRight w) m)
23203,0.34375,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) turnRight w) turnLeft i) turnRight pickMarker m)
23254,0.46875,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) turnLeft turnLeft turnRight w) turnLeft i) turnRight pickMarker m)
113972,0.53,DEF run m( turnRight WHILE c( noMarkersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) turnRight w) turnLeft pickMarker turnLeft pickMarker turnRight m)
