num_evaluations,best_reward,best_program
1,-1.0,DEF run m( putMarker m)
2,0.0,DEF run m( REPEAT R=12 r( turnLeft r) m)
10,0.07638888888888891,DEF run m( REPEAT R=12 r( move move turnLeft pickMarker r) m)
73,0.09375000000000003,DEF run m( REPEAT R=12 r( move IF c( not c( frontIsClear c) c) i( turnLeft i) turnLeft pickMarker r) m)
81,0.11111111111111115,DEF run m( REPEAT R=12 r( move IF c( not c( frontIsClear c) c) i( WHILE c( frontIsClear c) w( move w) i) turnLeft pickMarker r) m)
90,0.20486111111111116,DEF run m( REPEAT R=12 r( move IF c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move w) i) turnLeft pickMarker r) m)
194,0.21875000000000006,DEF run m( REPEAT R=12 r( move IF c( not c( markersPresent c) c) i( WHILE c( noMarkersPresent c) w( move w) i) turnLeft pickMarker r) m)
273,0.24305555555555564,DEF run m( REPEAT R=12 r( move IF c( not c( markersPresent c) c) i( turnLeft IF c( rightIsClear c) i( move turnLeft turnRight move i) move i) turnLeft pickMarker r) m)
274,0.27777777777777785,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft IF c( rightIsClear c) i( move turnLeft turnRight move i) move i) turnLeft pickMarker r) m)
286,0.3611111111111112,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft move move move move i) turnLeft pickMarker r) m)
318,0.40798611111111127,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( not c( frontIsClear c) c) i( turnRight i) move i) turnLeft pickMarker r) m)
363,0.42881944444444464,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( not c( frontIsClear c) c) i( turnLeft i) move i) turnLeft pickMarker r) m)
403,0.43402777777777796,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( not c( frontIsClear c) c) i( turnLeft pickMarker i) move i) turnLeft pickMarker r) m)
542,0.44965277777777796,DEF run m( REPEAT R=16 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( not c( frontIsClear c) c) i( turnLeft pickMarker move i) move i) turnLeft pickMarker r) m)
555,0.4600694444444446,DEF run m( REPEAT R=18 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( not c( frontIsClear c) c) i( turnLeft pickMarker move i) move i) turnLeft pickMarker r) m)
665,0.4791666666666667,DEF run m( REPEAT R=18 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( rightIsClear c) i( turnRight i) move IF c( not c( frontIsClear c) c) i( turnLeft pickMarker move i) move i) turnLeft pickMarker r) m)
680,0.5000000000000001,DEF run m( REPEAT R=18 r( move IF c( not c( markersPresent c) c) i( turnLeft move move IF c( rightIsClear c) i( turnRight i) move IF c( not c( frontIsClear c) c) i( turnLeft i) move i) turnLeft pickMarker r) m)
1438,0.5277777777777778,DEF run m( REPEAT R=18 r( IF c( markersPresent c) i( pickMarker move IFELSE c( frontIsClear c) i( turnLeft turnRight i) ELSE e( turnLeft e) i) r) pickMarker m)
1772,0.5555555555555556,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( rightIsClear c) w( turnRight w) move IF c( markersPresent c) i( turnLeft i) w) WHILE c( markersPresent c) w( pickMarker w) m)
2400,0.6319444444444445,DEF run m( IF c( frontIsClear c) i( move turnLeft WHILE c( leftIsClear c) w( move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft turnLeft turnRight pickMarker e) w) move i) m)
2407,0.6666666666666666,DEF run m( IF c( frontIsClear c) i( turnLeft WHILE c( leftIsClear c) w( move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft turnLeft turnRight pickMarker e) w) move i) m)
4077,0.7725694444444448,DEF run m( WHILE c( markersPresent c) w( turnLeft IF c( rightIsClear c) i( move IF c( noMarkersPresent c) i( turnRight move turnLeft i) turnLeft turnLeft i) pickMarker move w) m)
4120,0.7812500000000002,DEF run m( WHILE c( leftIsClear c) w( turnLeft IF c( rightIsClear c) i( move IF c( noMarkersPresent c) i( turnRight move turnLeft i) turnLeft turnLeft i) pickMarker move w) m)
63332,0.8177083333333337,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( IF c( markersPresent c) i( turnRight pickMarker turnLeft move i) i) turnLeft IF c( rightIsClear c) i( move i) move w) m)
