num_evaluations,best_reward,best_program
1,0.0,DEF run m( putMarker m)
4,0.046875000000000014,DEF run m( move IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnRight e) m)
15,0.06944444444444445,DEF run m( move IFELSE c( frontIsClear c) i( move move turnLeft move i) ELSE e( turnRight e) m)
19,0.07118055555555555,DEF run m( move IFELSE c( frontIsClear c) i( move move move move move i) ELSE e( turnRight e) m)
23,0.08159722222222222,DEF run m( move IFELSE c( frontIsClear c) i( move move turnRight move move move i) ELSE e( turnRight e) m)
29,0.08333333333333333,DEF run m( move IFELSE c( frontIsClear c) i( turnLeft WHILE c( noMarkersPresent c) w( move w) i) ELSE e( turnRight e) m)
62,0.10937500000000003,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move move move turnLeft r) move i) ELSE e( move e) i) ELSE e( turnRight e) m)
74,0.11111111111111115,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move move move turnLeft r) move i) ELSE e( move e) i) ELSE e( turnRight move e) m)
126,0.13194444444444448,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnRight move move r) move i) ELSE e( move e) i) ELSE e( turnRight move e) m)
158,0.13541666666666669,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnRight move move r) move i) ELSE e( move e) i) ELSE e( turnLeft move e) m)
199,0.14930555555555555,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft move e) m)
320,0.15798611111111113,DEF run m( putMarker IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft move e) m)
322,0.15972222222222224,DEF run m( putMarker IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft pickMarker move move e) m)
348,0.16145833333333334,DEF run m( putMarker IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft pickMarker move move move e) m)
421,0.16666666666666669,DEF run m( putMarker IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft pickMarker move turnLeft putMarker WHILE c( frontIsClear c) w( move w) e) m)
482,0.1684027777777778,DEF run m( putMarker IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft move move turnLeft putMarker WHILE c( frontIsClear c) w( move w) e) m)
519,0.1701388888888889,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft move move turnLeft putMarker WHILE c( frontIsClear c) w( move w) e) m)
577,0.17534722222222224,DEF run m( move IFELSE c( frontIsClear c) i( IFELSE c( frontIsClear c) i( REPEAT R=8 r( move turnLeft move move r) move i) ELSE e( move e) i) ELSE e( turnLeft putMarker move turnLeft putMarker WHILE c( frontIsClear c) w( move w) e) m)
848,0.27604166666666674,DEF run m( move move turnLeft putMarker REPEAT R=1 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( putMarker turnLeft move i) w) r) move m)
859,0.38888888888888895,DEF run m( WHILE c( markersPresent c) w( pickMarker w) move turnLeft putMarker REPEAT R=1 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( putMarker turnLeft move i) w) r) move m)
880,0.4322916666666668,DEF run m( WHILE c( markersPresent c) w( pickMarker w) move turnLeft putMarker REPEAT R=1 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( turnLeft i) w) r) move m)
885,0.5642361111111113,DEF run m( WHILE c( markersPresent c) w( pickMarker w) turnRight putMarker turnLeft putMarker REPEAT R=1 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( turnLeft i) w) r) move m)
