num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
4,0.027777777777777787,DEF run m( putMarker m)
100,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) IF c( frontIsClear c) i( turnLeft i) m)
103,0.09027777777777779,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move w) IF c( frontIsClear c) i( turnLeft i) m)
661,0.09722222222222222,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( move putMarker move w) m)
702,0.1284722222222222,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( turnRight turnLeft move putMarker w) m)
754,0.14583333333333337,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( putMarker move w) m)
773,0.1666666666666667,DEF run m( WHILE c( not c( rightIsClear c) c) w( turnLeft w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( putMarker move w) m)
916,0.1979166666666667,DEF run m( WHILE c( not c( rightIsClear c) c) w( putMarker turnLeft move IFELSE c( frontIsClear c) i( move i) ELSE e( move e) w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( putMarker move w) m)
955,0.2083333333333334,DEF run m( WHILE c( not c( rightIsClear c) c) w( putMarker turnLeft move move move w) putMarker move putMarker turnRight move turnRight WHILE c( rightIsClear c) w( putMarker move w) m)
2047,0.25173611111111116,DEF run m( putMarker move turnLeft move putMarker WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft putMarker move turnLeft move turnLeft e) w) m)
2072,0.2586805555555556,DEF run m( putMarker move turnLeft move IF c( noMarkersPresent c) i( move i) turnRight turnLeft WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft putMarker move turnLeft move turnLeft e) w) m)
2124,0.2638888888888889,DEF run m( putMarker move turnLeft move IF c( frontIsClear c) i( move i) turnRight turnLeft WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft putMarker move turnLeft move turnLeft e) w) m)
2167,0.265625,DEF run m( putMarker move turnLeft move IF c( frontIsClear c) i( move i) turnRight turnLeft WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft putMarker move turnRight move turnLeft e) w) m)
5389,0.3871527777777779,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( move turnLeft move move i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5391,0.3993055555555557,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnRight turnRight move move move i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5400,0.46354166666666674,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnRight turnRight move turnRight i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5435,0.5000000000000001,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move turnRight move turnRight i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5470,0.5208333333333335,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move REPEAT R=7 r( turnRight r) i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5476,0.5416666666666667,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move move turnLeft REPEAT R=3 r( turnRight r) i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5485,0.5607638888888891,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move move turnLeft REPEAT R=8 r( turnRight r) i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
5526,0.6319444444444446,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move move turnLeft WHILE c( markersPresent c) w( move turnRight w) i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
17383,0.6753472222222225,DEF run m( IF c( rightIsClear c) i( turnLeft turnLeft i) putMarker move putMarker move WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnRight turnRight move turnRight i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
21295,0.6961805555555557,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft IF c( leftIsClear c) i( move i) IF c( frontIsClear c) i( turnRight i) turnLeft turnRight i) ELSE e( turnLeft putMarker move e) w) m)
22614,0.8993055555555559,DEF run m( IF c( rightIsClear c) i( turnLeft i) WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft IF c( rightIsClear c) i( move i) i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
43793,0.9079861111111114,DEF run m( turnLeft IF c( frontIsClear c) i( move i) WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnLeft move turnLeft move turnRight i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) putMarker m)
48369,0.9097222222222224,DEF run m( move turnLeft turnLeft turnRight WHILE c( frontIsClear c) w( move w) WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( turnRight turnRight move turnRight move i) ELSE e( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) e) w) m)
52184,0.9644444444444448,DEF run m( REPEAT R=3 r( turnLeft r) turnLeft turnLeft WHILE c( frontIsClear c) w( putMarker move w) WHILE c( leftIsClear c) w( turnLeft move IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( IF c( frontIsClear c) i( turnRight i) e) w) m)
