num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
6,0.003125,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( putMarker move i) m)
26,0.00625,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( REPEAT R=2 r( move r) i) m)
46,0.009375000000000001,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( REPEAT R=11 r( move r) i) m)
162,0.01875,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( move move move turnRight w) i) m)
191,0.018750000000000003,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( move move move turnRight w) i) m)
432,0.025,DEF run m( REPEAT R=12 r( move turnRight move move move r) WHILE c( noMarkersPresent c) w( move w) m)
470,0.034375,DEF run m( REPEAT R=12 r( move turnRight move move move r) WHILE c( frontIsClear c) w( move w) m)
547,0.037500000000000006,DEF run m( REPEAT R=12 r( move turnRight move move move r) REPEAT R=10 r( WHILE c( frontIsClear c) w( turnRight move move w) REPEAT R=12 r( move putMarker move move r) move IF c( markersPresent c) i( move move move i) r) m)
630,0.040625,DEF run m( REPEAT R=12 r( move turnRight move move move r) REPEAT R=10 r( putMarker WHILE c( leftIsClear c) w( move w) r) m)
1006,0.04062500000000001,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnRight putMarker i) ELSE e( move turnLeft e) w) WHILE c( leftIsClear c) w( move putMarker w) move m)
1010,0.05,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnRight putMarker i) ELSE e( move turnLeft e) w) WHILE c( leftIsClear c) w( move turnRight w) move m)
1011,0.08125,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( turnRight putMarker i) ELSE e( move turnLeft e) w) WHILE c( leftIsClear c) w( move move w) move m)
1543,0.08437500000000002,DEF run m( turnLeft WHILE c( rightIsClear c) w( IFELSE c( markersPresent c) i( move move i) ELSE e( IF c( noMarkersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move w) turnRight e) w) m)
1796,0.09375000000000001,DEF run m( REPEAT R=9 r( turnRight putMarker WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( move turnLeft turnRight e) w) r) m)
1802,0.10312500000000002,DEF run m( REPEAT R=11 r( turnRight putMarker WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( move turnLeft turnRight e) w) r) m)
5541,0.11250000000000002,DEF run m( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) move turnRight IFELSE c( markersPresent c) i( putMarker i) ELSE e( move e) m)
5689,0.11875000000000002,DEF run m( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) REPEAT R=13 r( turnRight r) turnRight IFELSE c( markersPresent c) i( putMarker i) ELSE e( move e) m)
7310,0.1375,DEF run m( turnRight WHILE c( frontIsClear c) w( REPEAT R=6 r( move turnRight move turnLeft WHILE c( frontIsClear c) w( putMarker move w) WHILE c( leftIsClear c) w( turnLeft w) move r) w) m)
26436,0.146875,DEF run m( WHILE c( frontIsClear c) w( turnRight REPEAT R=10 r( move turnRight move turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft w) putMarker r) move move w) putMarker turnLeft putMarker REPEAT R=4 r( pickMarker r) m)
26441,0.15312499999999998,DEF run m( WHILE c( frontIsClear c) w( turnRight REPEAT R=10 r( move turnRight move turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft w) putMarker r) move move w) putMarker move putMarker REPEAT R=4 r( pickMarker r) m)
26469,0.15937500000000002,DEF run m( WHILE c( frontIsClear c) w( turnRight REPEAT R=10 r( move turnRight move turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft w) putMarker r) move move w) putMarker turnLeft putMarker REPEAT R=4 r( pickMarker r) m)
26501,0.165625,DEF run m( WHILE c( frontIsClear c) w( turnRight REPEAT R=10 r( move turnRight move turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft w) putMarker r) move move w) putMarker turnLeft putMarker REPEAT R=4 r( move r) m)
27326,0.17812499999999998,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) WHILE c( frontIsClear c) w( move w) turnRight pickMarker move w) m)
27335,0.203125,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) WHILE c( frontIsClear c) w( move w) turnRight pickMarker move w) m)
27439,0.20625000000000004,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) WHILE c( frontIsClear c) w( turnLeft turnRight pickMarker move w) turnRight pickMarker move w) m)
27503,0.20937499999999998,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) WHILE c( noMarkersPresent c) w( turnLeft turnRight pickMarker move w) turnRight pickMarker move w) m)
27619,0.253125,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=13 r( turnRight putMarker WHILE c( frontIsClear c) w( move w) r) WHILE c( noMarkersPresent c) w( turnLeft turnRight putMarker move w) turnRight pickMarker move w) m)
60553,0.25937499999999997,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=8 r( WHILE c( frontIsClear c) w( move w) turnLeft putMarker r) IFELSE c( noMarkersPresent c) i( move turnLeft move pickMarker putMarker move turnLeft i) ELSE e( move move move move turnLeft e) w) m)
68735,0.26875,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) turnLeft putMarker r) IFELSE c( noMarkersPresent c) i( move turnLeft move move turnRight turnLeft move i) ELSE e( move move move move turnLeft e) w) m)
68774,0.275,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnLeft r) IFELSE c( noMarkersPresent c) i( move turnLeft move move turnRight turnLeft move i) ELSE e( move move move move turnLeft e) w) m)
68856,0.31562499999999993,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnLeft r) IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move move move move turnLeft e) w) m)
