num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IF c( frontIsClear c) i( REPEAT R=0 r( pickMarker r) i) putMarker turnLeft IF c( leftIsClear c) i( move i) m)
2,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) i) ELSE e( move e) m)
12,0.03125,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) turnRight move turnLeft WHILE c( not c( frontIsClear c) c) w( turnLeft pickMarker w) m)
30,0.0625,DEF run m( REPEAT R=5 r( IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( pickMarker i) r) m)
74,0.09375,DEF run m( turnRight WHILE c( markersPresent c) w( turnLeft w) move REPEAT R=1 r( pickMarker r) WHILE c( frontIsClear c) w( pickMarker w) m)
494,0.125,DEF run m( turnRight WHILE c( not c( rightIsClear c) c) w( turnLeft w) move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( move e) m)
17668,0.1875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( move w) WHILE c( frontIsClear c) w( pickMarker w) turnRight move turnLeft m)
54414,0.375,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) IFELSE c( frontIsClear c) i( turnRight i) ELSE e( move e) pickMarker turnLeft m)
90740,0.40625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) turnRight pickMarker IFELSE c( frontIsClear c) i( turnRight i) ELSE e( move e) m)
2269315,0.46875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker m)
10000000,0.46875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker m)
