num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker w) turnRight WHILE c( not c( rightIsClear c) c) w( move w) m)
2,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( pickMarker i) WHILE c( not c( frontIsClear c) c) w( WHILE c( leftIsClear c) w( move w) w) m)
101,0.05555555555555557,DEF run m( IFELSE c( frontIsClear c) i( pickMarker move i) ELSE e( WHILE c( leftIsClear c) w( turnRight w) e) WHILE c( not c( noMarkersPresent c) c) w( pickMarker w) move m)
124,0.08506944444444445,DEF run m( REPEAT R=4 r( pickMarker move r) m)
577,0.15104166666666669,DEF run m( pickMarker move turnLeft IF c( frontIsClear c) i( pickMarker move i) WHILE c( rightIsClear c) w( IF c( markersPresent c) i( pickMarker move i) w) m)
1255,0.17013888888888892,DEF run m( pickMarker move pickMarker move turnLeft pickMarker move REPEAT R=3 r( pickMarker move r) pickMarker move pickMarker move m)
1315,0.1944444444444445,DEF run m( pickMarker move pickMarker turnLeft move pickMarker IF c( frontIsClear c) i( move i) pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move m)
3959,0.4444444444444446,DEF run m( WHILE c( frontIsClear c) w( move pickMarker WHILE c( not c( frontIsClear c) c) w( turnLeft move w) w) m)
6172,0.5555555555555556,DEF run m( WHILE c( leftIsClear c) w( move pickMarker IF c( not c( frontIsClear c) c) i( turnLeft i) w) m)
74658,0.6319444444444446,DEF run m( REPEAT R=5 r( turnLeft move pickMarker WHILE c( frontIsClear c) w( move pickMarker w) r) m)
74886,0.6666666666666666,DEF run m( REPEAT R=18 r( REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( move pickMarker w) r) WHILE c( not c( frontIsClear c) c) w( move pickMarker w) r) m)
3326976,0.7777777777777781,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( IF c( rightIsClear c) i( move i) turnLeft e) w) i) ELSE e( move turnLeft e) m)
10000000,0.7777777777777781,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( IF c( rightIsClear c) i( move i) turnLeft e) w) i) ELSE e( move turnLeft e) m)
