num_evaluations,best_reward,best_program
1,0.039930555555555566,DEF run m( IFELSE c( frontIsClear c) i( move turnRight move i) ELSE e( REPEAT R=4 r( turnLeft r) move e) m)
2,0.046875000000000014,DEF run m( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) turnLeft m)
3,0.050347222222222224,DEF run m( WHILE c( leftIsClear c) w( move w) IF c( frontIsClear c) i( turnLeft i) turnRight pickMarker move m)
7,0.053819444444444454,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) WHILE c( leftIsClear c) w( putMarker w) pickMarker move WHILE c( noMarkersPresent c) w( move w) m)
11,0.07118055555555555,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) r) IF c( markersPresent c) i( turnLeft turnLeft i) m)
12,0.08506944444444443,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=1 r( turnLeft r) pickMarker move m)
25,0.1076388888888889,DEF run m( IF c( frontIsClear c) i( move i) turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) REPEAT R=7 r( move r) m)
70,0.11284722222222225,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( frontIsClear c) w( pickMarker w) turnLeft move m)
135,0.1527777777777778,DEF run m( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( turnRight i) ELSE e( putMarker e) turnLeft WHILE c( frontIsClear c) w( move w) m)
137,0.1979166666666667,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnLeft move e) r) m)
257,0.6041666666666669,DEF run m( REPEAT R=11 r( WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( turnLeft move i) r) m)
902,0.8506944444444448,DEF run m( REPEAT R=13 r( putMarker REPEAT R=13 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) r) turnLeft move m)
266704,0.8663194444444449,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( turnRight w) w) m)
5624881,0.868055555555556,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) w) m)
10000000,0.868055555555556,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) w) m)
