num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnRight move e) IF c( noMarkersPresent c) i( turnRight i) REPEAT R=3 r( turnLeft r) m)
72,0.04861111111111111,DEF run m( WHILE c( rightIsClear c) w( putMarker move w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) m)
119,0.09027777777777779,DEF run m( WHILE c( markersPresent c) w( turnLeft w) putMarker move WHILE c( not c( markersPresent c) c) w( putMarker move w) m)
392,0.09375,DEF run m( REPEAT R=5 r( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft move e) r) m)
432,0.11284722222222221,DEF run m( turnLeft WHILE c( markersPresent c) w( move w) WHILE c( leftIsClear c) w( putMarker move w) m)
433,0.12499999999999997,DEF run m( REPEAT R=5 r( putMarker IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) m)
656,0.21006944444444445,DEF run m( REPEAT R=12 r( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft move e) r) m)
798,0.27777777777777785,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft move e) r) m)
915,0.29166666666666674,DEF run m( REPEAT R=13 r( putMarker IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) m)
2205,0.32638888888888895,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnRight move e) w) m)
2496,0.3645833333333334,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft move e) w) m)
2503,0.4548611111111111,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft e) w) m)
2927,0.527777777777778,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft e) WHILE c( markersPresent c) w( move turnLeft w) w) m)
3304,0.5729166666666667,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker WHILE c( not c( noMarkersPresent c) c) w( move w) i) ELSE e( turnLeft e) w) m)
337803,0.5781250000000003,DEF run m( REPEAT R=5 r( turnLeft WHILE c( frontIsClear c) w( move REPEAT R=1 r( putMarker r) w) r) m)
915237,0.5954861111111113,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft e) WHILE c( markersPresent c) w( turnLeft move w) w) m)
2762344,0.6197916666666667,DEF run m( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight WHILE c( noMarkersPresent c) w( putMarker w) w) m)
4572146,0.6302083333333335,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( putMarker WHILE c( markersPresent c) w( move w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) w) m)
5384343,0.6510416666666667,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( markersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) w) m)
7284376,0.9097222222222225,DEF run m( WHILE c( noMarkersPresent c) w( putMarker turnRight WHILE c( markersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) w) m)
10000000,0.9097222222222225,DEF run m( WHILE c( noMarkersPresent c) w( putMarker turnRight WHILE c( markersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) w) m)
