num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker w) turnRight WHILE c( not c( rightIsClear c) c) w( move w) m)
7,0.005681818181818182,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) i) pickMarker move IF c( frontIsClear c) i( putMarker i) m)
164,0.017045454545454544,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( move w) i) pickMarker move turnRight move m)
1518,0.0909090909090909,DEF run m( move turnRight move pickMarker move m)
1677,0.10227272727272727,DEF run m( move turnRight move pickMarker IF c( leftIsClear c) i( move i) pickMarker m)
1934,0.11363636363636362,DEF run m( move turnRight IF c( noMarkersPresent c) i( move i) pickMarker IF c( noMarkersPresent c) i( move i) pickMarker m)
2015,0.1477272727272727,DEF run m( move turnRight IF c( noMarkersPresent c) i( move i) pickMarker IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( move w) IF c( noMarkersPresent c) i( move i) pickMarker m)
18918,0.15340909090909088,DEF run m( move turnRight move pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move m)
25280,0.15909090909090906,DEF run m( move turnRight move pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move m)
31653,0.1647727272727272,DEF run m( move turnRight move pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker move turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker move turnLeft move move turnLeft move WHILE c( noMarkersPresent c) w( move w) pickMarker move turnLeft move m)
38248,0.16477272727272724,DEF run m( move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker move turnLeft move m)
79621,0.17045454545454541,DEF run m( move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) turnLeft pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft m)
10000000,0.17045454545454541,DEF run m( move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) turnLeft pickMarker turnLeft move turnLeft WHILE c( noMarkersPresent c) w( move w) pickMarker turnLeft m)
