num_evaluations,best_reward,best_program
1,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( pickMarker move i) ELSE e( WHILE c( rightIsClear c) w( move w) turnRight move e) m)
4,0.09027777777777779,DEF run m( IF c( rightIsClear c) i( move turnRight i) WHILE c( leftIsClear c) w( pickMarker move w) m)
168,0.11111111111111115,DEF run m( IF c( rightIsClear c) i( move i) turnLeft move WHILE c( frontIsClear c) w( pickMarker move w) m)
674,0.13888888888888887,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( pickMarker e) move turnLeft move WHILE c( frontIsClear c) w( move pickMarker w) m)
885,0.16666666666666666,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( pickMarker e) move turnLeft WHILE c( frontIsClear c) w( move pickMarker w) m)
1364,0.18576388888888892,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( pickMarker e) move turnLeft WHILE c( frontIsClear c) w( pickMarker move w) WHILE c( rightIsClear c) w( pickMarker move w) m)
1377,0.2708333333333334,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( pickMarker e) move turnLeft WHILE c( frontIsClear c) w( pickMarker move w) turnLeft WHILE c( frontIsClear c) w( pickMarker move w) m)
3489,0.2760416666666668,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft move pickMarker move pickMarker move pickMarker move turnLeft move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move m)
3594,0.3315972222222223,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft move pickMarker move pickMarker move pickMarker move turnLeft move pickMarker move pickMarker move turnLeft move pickMarker move pickMarker move turnLeft move pickMarker move m)
3938,0.34027777777777796,DEF run m( pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move m)
4091,0.38541666666666685,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move turnLeft move pickMarker move m)
5392,0.4010416666666667,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker m)
6359,0.41145833333333337,DEF run m( pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move m)
6811,0.45312500000000006,DEF run m( pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker m)
133138,0.4756944444444444,DEF run m( pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker m)
5680129,0.47916666666666674,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnRight pickMarker move turnRight pickMarker move pickMarker move pickMarker move pickMarker m)
10000000,0.47916666666666674,DEF run m( pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnLeft pickMarker move pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker move turnRight pickMarker move turnRight pickMarker move pickMarker move pickMarker move pickMarker m)
