num_evaluations,best_reward,best_program
1,0.039930555555555566,DEF run m( IFELSE c( frontIsClear c) i( move turnRight move i) ELSE e( REPEAT R=4 r( turnLeft r) move e) m)
2,0.046875000000000014,DEF run m( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) turnLeft m)
3,0.050347222222222224,DEF run m( WHILE c( leftIsClear c) w( move w) IF c( frontIsClear c) i( turnLeft i) turnRight pickMarker move m)
7,0.053819444444444454,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) WHILE c( leftIsClear c) w( putMarker w) pickMarker move WHILE c( noMarkersPresent c) w( move w) m)
11,0.07118055555555555,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) r) IF c( markersPresent c) i( turnLeft turnLeft i) m)
12,0.08506944444444443,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=1 r( turnLeft r) pickMarker move m)
25,0.1076388888888889,DEF run m( IF c( frontIsClear c) i( move i) turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) REPEAT R=7 r( move r) m)
67,0.10937500000000003,DEF run m( REPEAT R=5 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) WHILE c( leftIsClear c) w( turnLeft move w) m)
98,0.2482638888888889,DEF run m( REPEAT R=12 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) turnLeft WHILE c( frontIsClear c) w( turnRight move w) m)
137,0.3246527777777779,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) pickMarker move m)
149,0.37847222222222243,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) IF c( frontIsClear c) i( turnLeft move i) m)
164,0.40972222222222243,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) turnLeft WHILE c( frontIsClear c) w( move w) m)
269,0.4531250000000001,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) WHILE c( frontIsClear c) w( move w) m)
283,0.6440972222222224,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) r) m)
307,0.8125000000000003,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) r) m)
341,0.8472222222222225,DEF run m( REPEAT R=18 r( REPEAT R=2 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) r) r) m)
397,0.8506944444444448,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight move e) r) m)
