num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft pickMarker move turnRight m)
7,0.003125,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( move w) i) ELSE e( move e) IF c( noMarkersPresent c) i( turnRight i) move m)
355,0.009375000000000001,DEF run m( IF c( frontIsClear c) i( turnRight i) move turnRight WHILE c( frontIsClear c) w( move w) m)
4101,0.0125,DEF run m( IF c( frontIsClear c) i( turnRight i) move turnRight WHILE c( frontIsClear c) w( move w) turnRight move m)
4324,0.015625,DEF run m( IF c( frontIsClear c) i( turnRight i) move turnRight WHILE c( frontIsClear c) w( move w) turnLeft move m)
8752,0.01875,DEF run m( turnRight IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move turnLeft m)
8883,0.021875,DEF run m( turnRight IF c( frontIsClear c) i( move i) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move turnLeft m)
9313,0.024999999999999998,DEF run m( turnRight IF c( frontIsClear c) i( move i) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( turnLeft w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move m)
9470,0.028124999999999997,DEF run m( turnRight IF c( frontIsClear c) i( move move i) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move IF c( frontIsClear c) i( move i) turnRight move m)
9525,0.037500000000000006,DEF run m( turnRight IF c( frontIsClear c) i( move i) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move turnLeft m)
11807,0.04375000000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move m)
15813,0.05000000000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight m)
26627,0.05312500000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move turnRight move turnLeft turnRight move m)
27373,0.05312500000000002,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move move turnRight turnLeft move turnRight move turnRight move turnLeft turnRight move m)
106904,0.05625000000000002,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight move turnRight WHILE c( frontIsClear c) w( move w) m)
112846,0.05937500000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight move turnRight WHILE c( frontIsClear c) w( move w) m)
127609,0.07187500000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight w) move m)
146054,0.10625000000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight move w) m)
