num_evaluations,best_reward,best_program
1,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( pickMarker move i) ELSE e( WHILE c( rightIsClear c) w( move w) turnRight move e) m)
10242,0.11941964285714285,DEF run m( move move IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( turnLeft putMarker e) WHILE c( leftIsClear c) w( move w) turnLeft turnLeft WHILE c( noMarkersPresent c) w( move w) WHILE c( not c( leftIsClear c) c) w( move turnLeft w) m)
11383,0.416889880952381,DEF run m( move move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker turnLeft WHILE c( leftIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft w) m)
16906,0.4619047619047619,DEF run m( move move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker turnLeft WHILE c( noMarkersPresent c) w( move w) turnLeft move WHILE c( noMarkersPresent c) w( move w) turnLeft putMarker WHILE c( noMarkersPresent c) w( move w) turnLeft move turnRight turnLeft m)
16982,0.4848214285714285,DEF run m( move move turnLeft turnRight WHILE c( noMarkersPresent c) w( move w) putMarker move turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker move turnLeft m)
16996,0.5837797619047619,DEF run m( move move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker move turnLeft m)
17144,0.813392857142857,DEF run m( move move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move turnLeft m)
35640,0.8203125000000001,DEF run m( move move turnRight turnLeft WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move move putMarker m)
116815,0.8327380952380953,DEF run m( WHILE c( noMarkersPresent c) w( move WHILE c( noMarkersPresent c) w( move w) putMarker move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move m)
124037,1.0,DEF run m( WHILE c( noMarkersPresent c) w( move WHILE c( noMarkersPresent c) w( move w) putMarker move w) putMarker move REPEAT R=14 r( WHILE c( noMarkersPresent c) w( move w) putMarker move r) putMarker move REPEAT R=14 r( move r) m)
