num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.011363636363636364,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
353,0.022727272727272728,DEF run m( REPEAT R=10 r( move WHILE c( rightIsClear c) w( WHILE c( rightIsClear c) w( turnRight w) w) turnLeft pickMarker r) WHILE c( not c( frontIsClear c) c) w( turnRight turnRight w) IF c( rightIsClear c) i( turnLeft i) m)
910,0.10227272727272727,DEF run m( move IF c( markersPresent c) i( pickMarker move turnRight move i) turnRight IF c( noMarkersPresent c) i( move pickMarker i) m)
2989,0.10795454545454543,DEF run m( move IF c( markersPresent c) i( turnRight pickMarker i) WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( markersPresent c) w( pickMarker move turnRight WHILE c( frontIsClear c) w( move move move turnLeft w) REPEAT R=11 r( turnLeft r) w) m)
3002,0.10795454545454547,DEF run m( move IF c( markersPresent c) i( turnRight pickMarker i) WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( markersPresent c) w( pickMarker WHILE c( leftIsClear c) w( IF c( rightIsClear c) i( move move turnRight i) turnLeft w) w) m)
3072,0.13636363636363635,DEF run m( move IF c( markersPresent c) i( turnRight pickMarker i) WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( markersPresent c) w( pickMarker WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move w) turnLeft w) w) m)
3107,0.15340909090909088,DEF run m( move IF c( markersPresent c) i( turnRight pickMarker move i) WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( markersPresent c) w( pickMarker WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move w) turnLeft w) w) m)
37155,0.15909090909090906,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) pickMarker IF c( leftIsClear c) i( turnLeft i) IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( IF c( markersPresent c) i( pickMarker turnLeft move turnLeft i) move w) i) m)
42082,0.1761363636363636,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move IF c( not c( noMarkersPresent c) c) i( pickMarker turnRight i) i) ELSE e( turnRight e) w) turnRight m)
235717,0.2045454545454545,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker move turnRight w) IF c( frontIsClear c) i( REPEAT R=6 r( turnRight r) i) turnRight WHILE c( markersPresent c) w( move w) w) m)
235786,0.28409090909090906,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker move turnRight w) IF c( frontIsClear c) i( REPEAT R=6 r( turnRight r) i) turnLeft WHILE c( markersPresent c) w( move w) w) m)
235880,0.3409090909090909,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker turnLeft turnRight w) IF c( frontIsClear c) i( REPEAT R=6 r( turnRight r) i) turnLeft WHILE c( markersPresent c) w( move w) w) m)
236050,0.36363636363636365,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker turnRight turnRight w) IF c( frontIsClear c) i( REPEAT R=6 r( turnRight r) i) turnLeft WHILE c( markersPresent c) w( move w) w) m)
581857,0.994318181818182,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move turnRight w) IF c( markersPresent c) i( pickMarker i) turnLeft WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( turnLeft turnRight w) w) w) m)
1099235,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move turnRight WHILE c( not c( noMarkersPresent c) c) w( pickMarker w) w) turnLeft w) move m)
