num_evaluations,best_reward,best_program
1,-0.375,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
2,0.0,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
11,0.0625,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( pickMarker w) IF c( frontIsClear c) i( move i) move w) m)
350,0.09375,DEF run m( move WHILE c( noMarkersPresent c) w( move turnRight w) WHILE c( frontIsClear c) w( pickMarker w) m)
462,0.15625,DEF run m( IF c( not c( frontIsClear c) c) i( move move i) WHILE c( noMarkersPresent c) w( move turnRight w) WHILE c( frontIsClear c) w( pickMarker w) m)
8934,0.1875,DEF run m( IF c( rightIsClear c) i( IF c( noMarkersPresent c) i( turnRight WHILE c( noMarkersPresent c) w( move w) WHILE c( frontIsClear c) w( pickMarker w) move i) move i) m)
20981,0.28125,DEF run m( REPEAT R=12 r( turnRight move WHILE c( frontIsClear c) w( turnLeft IF c( markersPresent c) i( pickMarker move move move i) w) r) m)
21034,0.3125,DEF run m( REPEAT R=16 r( turnRight move WHILE c( frontIsClear c) w( turnLeft IF c( markersPresent c) i( pickMarker move move move i) w) r) m)
22940,0.34375,DEF run m( IFELSE c( noMarkersPresent c) i( turnRight move WHILE c( noMarkersPresent c) w( move IF c( not c( frontIsClear c) c) i( turnLeft i) w) i) ELSE e( move turnLeft turnLeft e) pickMarker m)
30321,0.46875,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=17 r( turnRight r) WHILE c( frontIsClear c) w( move WHILE c( markersPresent c) w( pickMarker w) w) REPEAT R=15 r( REPEAT R=2 r( turnRight r) r) w) m)
