num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( putMarker i) w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
6,0.04861111111111112,DEF run m( move IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
7,0.05381944444444445,DEF run m( move IF c( leftIsClear c) i( move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move move i) WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
9,0.060763888888888895,DEF run m( move IF c( noMarkersPresent c) i( move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move move i) WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
11,0.06770833333333333,DEF run m( move IF c( noMarkersPresent c) i( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( move move i) WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
56,0.07118055555555555,DEF run m( move IF c( noMarkersPresent c) i( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( move move i) WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) move i) i) m)
81,0.07465277777777778,DEF run m( move IF c( noMarkersPresent c) i( move IF c( noMarkersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) move i) i) m)
83,0.07465277777777779,DEF run m( move IF c( noMarkersPresent c) i( move IF c( noMarkersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( leftIsClear c) w( turnLeft w) IF c( rightIsClear c) i( turnLeft i) move i) i) m)
91,0.08159722222222222,DEF run m( move IF c( noMarkersPresent c) i( move IF c( noMarkersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( leftIsClear c) w( turnLeft w) IF c( rightIsClear c) i( move i) move i) i) m)
101,0.08854166666666667,DEF run m( move IF c( noMarkersPresent c) i( move IF c( noMarkersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( leftIsClear c) w( turnLeft w) move move i) i) m)
129,0.13194444444444445,DEF run m( putMarker WHILE c( frontIsClear c) w( move turnRight move move w) WHILE c( noMarkersPresent c) w( turnLeft move move move w) m)
130,0.1371527777777778,DEF run m( putMarker WHILE c( frontIsClear c) w( move turnRight move move w) WHILE c( rightIsClear c) w( turnLeft move move move w) m)
148,0.1388888888888889,DEF run m( putMarker WHILE c( frontIsClear c) w( move turnRight move move w) WHILE c( rightIsClear c) w( WHILE c( not c( frontIsClear c) c) w( IF c( noMarkersPresent c) i( turnRight i) w) move move move w) m)
155,0.14583333333333334,DEF run m( move WHILE c( frontIsClear c) w( move turnRight move move w) WHILE c( rightIsClear c) w( WHILE c( not c( frontIsClear c) c) w( IF c( noMarkersPresent c) i( turnRight i) w) move move move w) m)
165,0.16319444444444448,DEF run m( move WHILE c( frontIsClear c) w( move turnRight move move w) WHILE c( rightIsClear c) w( turnRight move move move w) m)
173,0.1666666666666667,DEF run m( move WHILE c( leftIsClear c) w( turnRight w) WHILE c( rightIsClear c) w( turnRight move move move w) m)
217,0.23958333333333337,DEF run m( move WHILE c( leftIsClear c) w( turnRight w) WHILE c( rightIsClear c) w( turnRight move WHILE c( frontIsClear c) w( move turnLeft w) WHILE c( frontIsClear c) w( turnRight w) w) m)
221,0.6388888888888891,DEF run m( move WHILE c( leftIsClear c) w( turnRight w) WHILE c( rightIsClear c) w( turnRight move WHILE c( frontIsClear c) w( turnLeft w) WHILE c( frontIsClear c) w( turnRight w) w) m)
1719,0.7187500000000002,DEF run m( turnRight IFELSE c( markersPresent c) i( putMarker i) ELSE e( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft move w) move e) m)
1771,0.7899305555555558,DEF run m( turnRight IFELSE c( markersPresent c) i( putMarker i) ELSE e( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) move e) m)
