num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnLeft m)
4,0.027777777777777787,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( turnLeft w) REPEAT R=14 r( move r) m)
12,0.039930555555555566,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( turnLeft move move move putMarker w) REPEAT R=14 r( move r) m)
40,0.046875000000000014,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( turnLeft move IFELSE c( frontIsClear c) i( move i) ELSE e( move pickMarker putMarker move e) REPEAT R=5 r( putMarker move move pickMarker r) w) REPEAT R=14 r( move r) m)
49,0.05555555555555557,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( turnLeft move REPEAT R=10 r( turnRight r) REPEAT R=5 r( putMarker move move pickMarker r) w) REPEAT R=14 r( move r) m)
52,0.078125,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( turnLeft move REPEAT R=10 r( turnRight r) REPEAT R=5 r( putMarker move move move r) w) REPEAT R=14 r( move r) m)
85,0.09027777777777779,DEF run m( REPEAT R=16 r( putMarker move r) move m)
832,0.10416666666666666,DEF run m( turnLeft IF c( leftIsClear c) i( turnLeft REPEAT R=14 r( putMarker turnLeft turnRight move r) move move WHILE c( noMarkersPresent c) w( turnLeft move w) i) m)
852,0.11284722222222221,DEF run m( turnLeft IF c( leftIsClear c) i( WHILE c( not c( leftIsClear c) c) w( IF c( frontIsClear c) i( putMarker i) w) REPEAT R=14 r( putMarker turnLeft turnRight move r) move move WHILE c( noMarkersPresent c) w( turnLeft move w) i) m)
1595,0.11284722222222224,DEF run m( IF c( frontIsClear c) i( putMarker IF c( frontIsClear c) i( turnLeft WHILE c( markersPresent c) w( turnRight move putMarker move w) turnLeft i) WHILE c( frontIsClear c) w( move putMarker w) i) move m)
1711,0.11979166666666669,DEF run m( IF c( frontIsClear c) i( putMarker IF c( leftIsClear c) i( turnLeft WHILE c( markersPresent c) w( turnRight move putMarker move w) turnLeft i) WHILE c( frontIsClear c) w( move putMarker w) i) move m)
1771,0.1267361111111111,DEF run m( IF c( frontIsClear c) i( putMarker IF c( leftIsClear c) i( turnLeft WHILE c( markersPresent c) w( turnRight move w) turnLeft i) WHILE c( frontIsClear c) w( move putMarker w) i) move m)
2903,0.13020833333333334,DEF run m( move WHILE c( leftIsClear c) w( turnLeft putMarker move turnRight w) turnRight WHILE c( noMarkersPresent c) w( turnRight IFELSE c( rightIsClear c) i( putMarker i) ELSE e( move IF c( frontIsClear c) i( move putMarker move move i) e) w) m)
2942,0.140625,DEF run m( move WHILE c( leftIsClear c) w( turnLeft putMarker move turnRight w) turnRight WHILE c( noMarkersPresent c) w( turnRight IFELSE c( rightIsClear c) i( putMarker i) ELSE e( move IF c( frontIsClear c) i( turnLeft putMarker move move i) e) w) m)
3063,0.16145833333333337,DEF run m( move WHILE c( leftIsClear c) w( turnLeft putMarker move turnRight w) turnRight WHILE c( noMarkersPresent c) w( move turnRight move WHILE c( frontIsClear c) w( putMarker move w) WHILE c( frontIsClear c) w( move move w) w) m)
3083,0.18923611111111116,DEF run m( move WHILE c( leftIsClear c) w( turnLeft putMarker move turnRight w) turnRight WHILE c( noMarkersPresent c) w( move turnRight move WHILE c( leftIsClear c) w( putMarker move w) WHILE c( frontIsClear c) w( move move w) w) m)
5306,0.19444444444444448,DEF run m( turnRight IF c( not c( rightIsClear c) c) i( move turnLeft turnRight move i) IF c( frontIsClear c) i( turnRight i) WHILE c( noMarkersPresent c) w( putMarker turnLeft WHILE c( markersPresent c) w( move w) w) m)
6333,0.25000000000000006,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft move i) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( putMarker turnRight turnRight turnRight i) turnRight w) w) move m)
6339,0.35069444444444453,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( move i) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( putMarker turnRight turnRight turnRight i) turnRight w) w) move m)
6383,0.36111111111111116,DEF run m( WHILE c( frontIsClear c) w( turnRight IF c( leftIsClear c) i( move i) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( putMarker turnRight turnRight turnRight i) turnRight w) w) move m)
6415,0.6527777777777779,DEF run m( WHILE c( frontIsClear c) w( turnRight IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( putMarker turnRight turnRight turnRight i) turnRight w) w) move m)
14796,0.6562500000000002,DEF run m( WHILE c( frontIsClear c) w( WHILE c( not c( markersPresent c) c) w( putMarker WHILE c( not c( leftIsClear c) c) w( move turnRight w) turnLeft w) move IF c( rightIsClear c) i( turnRight i) w) m)
55963,0.8888888888888892,DEF run m( WHILE c( not c( markersPresent c) c) w( turnRight IF c( leftIsClear c) i( putMarker i) turnRight WHILE c( markersPresent c) w( IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( move i) w) w) m)
193966,0.8958333333333337,DEF run m( REPEAT R=19 r( WHILE c( frontIsClear c) w( turnRight IFELSE c( markersPresent c) i( move i) ELSE e( putMarker e) turnLeft move w) turnRight r) m)
233926,0.9149305555555558,DEF run m( turnLeft turnLeft turnLeft WHILE c( noMarkersPresent c) w( putMarker IF c( frontIsClear c) i( move i) turnLeft WHILE c( not c( noMarkersPresent c) c) w( move IF c( frontIsClear c) i( turnRight i) turnLeft w) w) m)
233969,0.9201388888888893,DEF run m( turnLeft turnRight turnLeft WHILE c( noMarkersPresent c) w( putMarker IF c( frontIsClear c) i( move i) turnLeft WHILE c( not c( noMarkersPresent c) c) w( move IF c( frontIsClear c) i( turnRight i) turnLeft w) w) m)
460510,0.9722222222222225,DEF run m( putMarker WHILE c( frontIsClear c) w( move WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( not c( rightIsClear c) c) w( turnLeft move w) w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
701090,1.0000000000000002,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=4 r( IF c( frontIsClear c) i( turnRight i) r) IF c( frontIsClear c) i( turnLeft i) IF c( noMarkersPresent c) i( putMarker turnRight turnLeft turnRight i) turnRight w) m)
