num_evaluations,best_reward,best_program
1,-1.0,DEF run m( putMarker REPEAT R=15 r( move pickMarker IF c( frontIsClear c) i( IFELSE c( leftIsClear c) i( pickMarker turnLeft move turnLeft i) ELSE e( turnLeft turnRight putMarker turnLeft turnLeft turnLeft e) WHILE c( frontIsClear c) w( move move w) i) r) m)
44,0.0,DEF run m( turnLeft m)
1574,0.04501488095238095,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) turnLeft IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
1581,0.21875,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move move move move i) w) IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
1587,0.2788690476190476,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move move move move i) w) IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
1590,0.2970982142857143,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move move move move w) i) IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
1768,0.354389880952381,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( move move move move w) i) IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
1831,0.416889880952381,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( move w) i) IF c( not c( noMarkersPresent c) c) i( putMarker i) m)
5120,0.6684523809523809,DEF run m( move REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move move w) putMarker move turnLeft IFELSE c( frontIsClear c) i( turnRight i) ELSE e( move move e) r) m)
5158,0.8142857142857142,DEF run m( WHILE c( noMarkersPresent c) w( move w) REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move move w) putMarker move turnLeft IFELSE c( frontIsClear c) i( turnRight i) ELSE e( move move e) r) m)
5340,1.0,DEF run m( WHILE c( noMarkersPresent c) w( move w) REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move w) putMarker move turnLeft IFELSE c( frontIsClear c) i( turnRight i) ELSE e( move move e) r) m)
