num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
49,0.011363636363636364,DEF run m( WHILE c( markersPresent c) w( move turnLeft turnLeft pickMarker w) move WHILE c( rightIsClear c) w( pickMarker turnLeft move move w) m)
567,0.10227272727272727,DEF run m( IF c( noMarkersPresent c) i( move turnRight i) REPEAT R=10 r( move pickMarker r) m)
2069,0.11363636363636362,DEF run m( move WHILE c( frontIsClear c) w( turnRight WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) turnRight turnLeft pickMarker w) m)
2089,0.12499999999999999,DEF run m( move WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) turnRight turnLeft pickMarker w) m)
2093,0.13636363636363635,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) w) turnRight turnLeft pickMarker w) m)
2112,0.15340909090909088,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( turnRight move turnLeft i) ELSE e( turnRight e) w) turnRight turnLeft pickMarker w) m)
2187,0.15909090909090906,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnLeft i) ELSE e( turnRight e) w) turnRight turnLeft pickMarker w) m)
2212,0.18749999999999994,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnLeft i) ELSE e( turnLeft e) w) turnRight turnLeft pickMarker w) m)
2310,0.21022727272727265,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnLeft i) ELSE e( turnLeft e) w) turnLeft pickMarker w) m)
2390,0.6704545454545456,DEF run m( move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnRight turnLeft i) ELSE e( turnLeft e) w) turnLeft pickMarker w) m)
2483,0.7727272727272728,DEF run m( move move WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnRight turnLeft i) ELSE e( turnLeft e) w) turnLeft pickMarker w) m)
2530,0.7840909090909092,DEF run m( move turnRight WHILE c( frontIsClear c) w( turnRight turnLeft WHILE c( not c( markersPresent c) c) w( IFELSE c( rightIsClear c) i( turnRight move turnRight turnLeft i) ELSE e( turnLeft e) w) turnLeft pickMarker w) m)
6228,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnLeft WHILE c( not c( noMarkersPresent c) c) w( pickMarker w) turnLeft i) turnLeft w) m)
