num_evaluations,best_reward,best_program
1,-0.375,DEF run m( IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( move putMarker move turnRight i) w) i) m)
3,-0.3125,DEF run m( IF c( leftIsClear c) i( WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( move putMarker move turnRight i) w) i) m)
4,0.0,DEF run m( IF c( leftIsClear c) i( WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( move turnLeft i) w) i) m)
36,0.03125,DEF run m( IF c( leftIsClear c) i( WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( move pickMarker turnRight move turnLeft turnLeft i) w) i) m)
166,0.0625,DEF run m( IF c( rightIsClear c) i( move i) pickMarker m)
259,0.09375,DEF run m( IF c( rightIsClear c) i( turnRight move i) pickMarker m)
1463,0.1875,DEF run m( turnRight move WHILE c( noMarkersPresent c) w( move w) turnRight pickMarker m)
6200,0.21875,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( turnRight e) IF c( rightIsClear c) i( move i) turnRight turnRight w) w) m)
15306,0.3125,DEF run m( IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnRight e) turnLeft WHILE c( noMarkersPresent c) w( turnRight move WHILE c( frontIsClear c) w( turnRight w) w) pickMarker m)
27070,0.375,DEF run m( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnRight e) turnLeft WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) pickMarker m)
27096,0.40625,DEF run m( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnRight e) turnRight WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) pickMarker m)
27110,0.4375,DEF run m( WHILE c( frontIsClear c) w( turnRight w) IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnRight e) turnRight WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) pickMarker m)
29371,0.46875,DEF run m( turnLeft turnLeft turnLeft WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) pickMarker REPEAT R=6 r( IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker move e) r) turnLeft m)
61126,0.5,DEF run m( turnRight WHILE c( not c( rightIsClear c) c) w( turnLeft w) WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) pickMarker m)
