num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
14,0.027777777777777787,DEF run m( move pickMarker m)
23,0.16666666666666666,DEF run m( move turnLeft WHILE c( markersPresent c) w( pickMarker move w) m)
418,0.2222222222222223,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft w) move REPEAT R=3 r( turnLeft turnLeft r) w) turnLeft r) m)
424,0.26562500000000006,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move w) move REPEAT R=3 r( turnLeft turnLeft r) w) turnLeft r) m)
425,0.5833333333333335,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
506,0.6180555555555557,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
587,0.6666666666666666,DEF run m( turnLeft turnLeft REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
724,0.6927083333333336,DEF run m( turnLeft turnLeft REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
744,0.7673611111111115,DEF run m( turnLeft move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
786,0.8177083333333336,DEF run m( turnLeft IF c( frontIsClear c) i( move move turnLeft i) REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
841,0.8263888888888892,DEF run m( turnLeft IF c( frontIsClear c) i( move move i) REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
893,0.9479166666666669,DEF run m( turnLeft IF c( frontIsClear c) i( move move i) REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move turnLeft w) move REPEAT R=3 r( turnRight r) w) turnLeft r) m)
28720,0.9513888888888891,DEF run m( turnLeft move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( move turnRight i) WHILE c( markersPresent c) w( turnLeft pickMarker turnLeft move w) turnLeft w) move m)
28761,0.9791666666666667,DEF run m( turnLeft move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( move turnRight i) WHILE c( markersPresent c) w( pickMarker turnLeft w) turnLeft w) move m)
85455,0.9843750000000002,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move i) ELSE e( turnRight e) i) WHILE c( markersPresent c) w( turnLeft pickMarker move w) turnLeft move w) move m)
91372,0.9895833333333335,DEF run m( move WHILE c( markersPresent c) w( pickMarker WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( turnLeft pickMarker move w) turnLeft move w) w) pickMarker pickMarker m)
93096,0.9947916666666669,DEF run m( turnLeft move pickMarker move WHILE c( leftIsClear c) w( turnLeft WHILE c( frontIsClear c) w( move WHILE c( markersPresent c) w( turnLeft pickMarker move w) w) turnLeft turnRight w) turnRight m)
101654,1.0000000000000002,DEF run m( WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight i) WHILE c( markersPresent c) w( IF c( frontIsClear c) i( turnRight turnLeft pickMarker i) WHILE c( markersPresent c) w( turnLeft pickMarker move w) turnLeft move w) turnLeft move w) m)
