num_evaluations,best_reward,best_program
1,0.07118055555555555,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) WHILE c( not c( noMarkersPresent c) c) w( IFELSE c( noMarkersPresent c) i( move move putMarker pickMarker turnLeft turnLeft i) ELSE e( pickMarker e) REPEAT R=18 r( turnLeft putMarker move r) IFELSE c( markersPresent c) i( turnLeft pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move e) move WHILE c( frontIsClear c) w( move turnLeft move move w) w) i) m)
26,0.08159722222222222,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) putMarker putMarker pickMarker REPEAT R=5 r( turnRight move r) i) m)
30,0.1284722222222222,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker putMarker pickMarker REPEAT R=5 r( turnRight move r) i) m)
57,0.1579861111111111,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker putMarker pickMarker REPEAT R=5 r( turnRight move move r) i) m)
59,0.18402777777777782,DEF run m( WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker putMarker pickMarker REPEAT R=5 r( turnRight move move r) i) m)
84,0.18923611111111113,DEF run m( WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight pickMarker REPEAT R=5 r( turnRight move move r) i) m)
87,0.20138888888888895,DEF run m( WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight move IF c( frontIsClear c) i( move i) REPEAT R=5 r( turnRight move move r) i) m)
150,0.2135416666666667,DEF run m( WHILE c( markersPresent c) w( move w) IF c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight move IF c( frontIsClear c) i( move i) REPEAT R=5 r( turnRight move move r) i) m)
169,0.21527777777777785,DEF run m( WHILE c( markersPresent c) w( move w) IF c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight pickMarker IF c( frontIsClear c) i( move i) REPEAT R=5 r( turnRight move move r) i) m)
212,0.2170138888888889,DEF run m( WHILE c( markersPresent c) w( move w) IF c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight pickMarker IF c( frontIsClear c) i( turnLeft i) REPEAT R=5 r( turnRight move move r) i) m)
247,0.2517361111111112,DEF run m( WHILE c( markersPresent c) w( move w) IF c( not c( markersPresent c) c) i( WHILE c( frontIsClear c) w( move turnLeft w) putMarker turnRight pickMarker WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( turnRight move move r) i) m)
699,0.6267361111111113,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) putMarker turnRight putMarker IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnLeft i) i) REPEAT R=5 r( turnRight move move r) m)
805,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) putMarker turnRight putMarker IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnLeft i) i) REPEAT R=5 r( turnRight move move r) m)
20325,0.8645833333333336,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) putMarker WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft move w) turnLeft putMarker r) m)
20445,0.9062500000000004,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) putMarker WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( turnRight w) turnLeft move w) turnLeft putMarker r) m)
20512,0.9079861111111116,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) putMarker WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( turnRight w) turnLeft move w) turnLeft turnLeft r) m)
34518,0.9357638888888894,DEF run m( turnLeft turnRight REPEAT R=17 r( WHILE c( frontIsClear c) w( move w) REPEAT R=2 r( WHILE c( frontIsClear c) w( move w) putMarker turnLeft IF c( frontIsClear c) i( move turnLeft putMarker putMarker i) turnLeft putMarker r) putMarker turnRight r) m)
