num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) WHILE c( frontIsClear c) w( move IFELSE c( leftIsClear c) i( move move i) ELSE e( turnLeft e) IFELSE c( rightIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) ELSE e( move WHILE c( rightIsClear c) w( turnRight move move move move move w) IF c( frontIsClear c) i( turnLeft i) e) w) m)
5,0.017361111111111115,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) putMarker m)
6,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( REPEAT R=16 r( IFELSE c( noMarkersPresent c) i( turnRight i) ELSE e( turnRight e) r) i) putMarker m)
45,0.0451388888888889,DEF run m( move turnRight putMarker move putMarker m)
77,0.04861111111111112,DEF run m( move turnLeft putMarker move putMarker m)
124,0.05555555555555557,DEF run m( turnRight turnLeft putMarker move putMarker m)
205,0.06597222222222224,DEF run m( turnRight turnLeft putMarker move IFELSE c( frontIsClear c) i( putMarker move move turnLeft i) ELSE e( turnLeft e) putMarker m)
218,0.07291666666666667,DEF run m( turnRight turnLeft putMarker move IFELSE c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move putMarker turnLeft turnLeft i) WHILE c( leftIsClear c) w( move move w) move i) ELSE e( turnLeft e) putMarker m)
224,0.07812500000000001,DEF run m( turnLeft turnLeft putMarker move IFELSE c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move putMarker turnLeft turnLeft i) WHILE c( leftIsClear c) w( move move w) move i) ELSE e( turnLeft e) putMarker m)
232,0.0902777777777778,DEF run m( turnLeft turnLeft putMarker move IFELSE c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move putMarker turnLeft turnLeft i) move i) ELSE e( turnLeft e) putMarker m)
257,0.09548611111111112,DEF run m( turnLeft turnLeft putMarker move IFELSE c( frontIsClear c) i( putMarker move putMarker move i) ELSE e( turnLeft e) putMarker m)
508,0.11284722222222221,DEF run m( turnLeft WHILE c( leftIsClear c) w( putMarker move w) move m)
838,0.15625000000000003,DEF run m( turnLeft move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( putMarker move putMarker move w) WHILE c( frontIsClear c) w( putMarker w) IF c( rightIsClear c) i( turnRight i) w) m)
860,0.17013888888888892,DEF run m( turnLeft move WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( putMarker move putMarker move w) WHILE c( frontIsClear c) w( putMarker w) IF c( rightIsClear c) i( turnRight i) w) m)
931,0.19791666666666669,DEF run m( turnLeft putMarker move WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( putMarker move putMarker move w) WHILE c( frontIsClear c) w( putMarker w) IF c( rightIsClear c) i( turnRight i) w) m)
1005,0.20659722222222224,DEF run m( turnLeft putMarker move WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( putMarker move putMarker move w) turnRight WHILE c( leftIsClear c) w( turnLeft w) putMarker move IF c( rightIsClear c) i( turnRight i) w) m)
2543,0.32986111111111116,DEF run m( WHILE c( noMarkersPresent c) w( putMarker WHILE c( markersPresent c) w( move turnLeft IF c( not c( frontIsClear c) c) i( move i) WHILE c( frontIsClear c) w( turnRight w) w) turnLeft w) putMarker m)
2548,0.3368055555555556,DEF run m( WHILE c( noMarkersPresent c) w( putMarker WHILE c( markersPresent c) w( move turnLeft IF c( not c( leftIsClear c) c) i( move i) WHILE c( frontIsClear c) w( turnRight w) w) turnLeft w) putMarker m)
4033,0.4045138888888889,DEF run m( IF c( leftIsClear c) i( turnLeft i) move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft e) move w) m)
4100,0.5086805555555557,DEF run m( IF c( leftIsClear c) i( turnLeft i) move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnRight e) move w) m)
4164,0.6197916666666667,DEF run m( IF c( leftIsClear c) i( turnLeft i) move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( putMarker turnRight turnRight IF c( frontIsClear c) i( turnLeft i) e) move w) m)
5440,0.6302083333333335,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( turnLeft i) putMarker move WHILE c( markersPresent c) w( move w) REPEAT R=13 r( turnRight r) w) w) m)
16461,0.9097222222222225,DEF run m( WHILE c( noMarkersPresent c) w( putMarker WHILE c( markersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( move e) w) REPEAT R=9 r( turnLeft r) w) move putMarker move m)
105732,0.9218750000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( markersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft move w) move w) IF c( markersPresent c) i( turnRight i) w) m)
105787,0.9236111111111114,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( markersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move w) IF c( markersPresent c) i( turnRight i) w) m)
105856,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( markersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move w) IF c( rightIsClear c) i( turnRight i) w) m)
