num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) WHILE c( frontIsClear c) w( move IFELSE c( leftIsClear c) i( move move i) ELSE e( turnLeft e) IFELSE c( rightIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) ELSE e( move WHILE c( rightIsClear c) w( turnRight move move move move move w) IF c( frontIsClear c) i( turnLeft i) e) w) m)
10,0.003125,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) turnLeft move IFELSE c( leftIsClear c) i( IF c( markersPresent c) i( move i) i) ELSE e( move move e) m)
80,0.00625,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) turnLeft move move move m)
141,0.0375,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) move move m)
144,0.043750000000000004,DEF run m( IF c( rightIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) move move m)
203,0.05625000000000001,DEF run m( IF c( rightIsClear c) i( REPEAT R=14 r( turnRight r) i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) move move m)
209,0.06562500000000002,DEF run m( IF c( rightIsClear c) i( REPEAT R=14 r( turnRight r) i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnRight m)
212,0.07187500000000001,DEF run m( IF c( rightIsClear c) i( REPEAT R=14 r( turnRight r) i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnRight m)
214,0.090625,DEF run m( IF c( rightIsClear c) i( REPEAT R=14 r( turnRight r) i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker i) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnRight m)
216,0.11562499999999999,DEF run m( IF c( rightIsClear c) i( REPEAT R=14 r( turnRight r) i) turnLeft WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker i) WHILE c( not c( frontIsClear c) c) w( putMarker pickMarker turnRight move w) w) turnRight m)
10742,0.19375,DEF run m( REPEAT R=4 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) WHILE c( frontIsClear c) w( move w) turnRight turnRight IF c( frontIsClear c) i( move i) r) m)
10772,0.19375000000000003,DEF run m( REPEAT R=4 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) WHILE c( frontIsClear c) w( move w) turnRight turnRight move r) m)
10808,0.203125,DEF run m( REPEAT R=9 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) WHILE c( frontIsClear c) w( move w) turnRight turnRight move r) m)
10875,0.225,DEF run m( REPEAT R=12 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) WHILE c( frontIsClear c) w( move w) turnRight turnRight move r) m)
10990,0.27499999999999997,DEF run m( REPEAT R=12 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) WHILE c( frontIsClear c) w( putMarker w) turnRight turnRight move r) m)
18835,0.278125,DEF run m( putMarker REPEAT R=12 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) pickMarker turnRight turnRight pickMarker move move r) putMarker turnRight turnRight move m)
18857,0.296875,DEF run m( putMarker REPEAT R=12 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) pickMarker turnRight turnRight pickMarker move move r) putMarker turnRight turnRight putMarker m)
21398,0.30624999999999997,DEF run m( REPEAT R=14 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) pickMarker turnRight turnRight pickMarker move move r) m)
32768,0.31875000000000003,DEF run m( REPEAT R=10 r( turnRight REPEAT R=8 r( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight putMarker r) pickMarker turnRight turnRight pickMarker move move r) putMarker move IF c( frontIsClear c) i( turnRight move i) move m)
38762,0.334375,DEF run m( turnLeft putMarker turnLeft REPEAT R=9 r( turnRight REPEAT R=6 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move putMarker move move putMarker r) m)
39620,0.33749999999999997,DEF run m( turnLeft putMarker turnLeft REPEAT R=15 r( turnRight putMarker REPEAT R=2 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move move move r) m)
39695,0.34374999999999994,DEF run m( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) turnLeft REPEAT R=15 r( turnRight putMarker REPEAT R=2 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move move move r) m)
39701,0.35312499999999997,DEF run m( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) turnLeft REPEAT R=15 r( turnRight move REPEAT R=2 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move move move r) m)
62934,0.37499999999999994,DEF run m( REPEAT R=15 r( turnRight REPEAT R=2 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move move move r) m)
63025,0.45000000000000007,DEF run m( REPEAT R=15 r( turnRight REPEAT R=2 r( WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move move move move r) m)
95369,0.5,DEF run m( WHILE c( frontIsClear c) w( turnLeft REPEAT R=5 r( turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight putMarker r) move turnRight move move w) move move m)
