num_evaluations,best_reward,best_program
1,0.0,DEF run m( move m)
23,0.011363636363636364,DEF run m( move pickMarker m)
34,0.0909090909090909,DEF run m( move turnRight move pickMarker m)
879,0.10227272727272727,DEF run m( REPEAT R=15 r( IF c( frontIsClear c) i( REPEAT R=15 r( move turnRight move pickMarker turnRight turnRight turnRight move turnRight r) i) r) putMarker IF c( frontIsClear c) i( move WHILE c( not c( frontIsClear c) c) w( move w) i) m)
1204,0.11363636363636362,DEF run m( REPEAT R=14 r( IF c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight turnRight i) ELSE e( turnRight pickMarker turnLeft e) i) turnLeft r) m)
1206,0.13636363636363635,DEF run m( REPEAT R=14 r( IF c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight turnRight i) ELSE e( turnRight pickMarker turnRight e) i) turnLeft r) m)
1213,0.1477272727272727,DEF run m( REPEAT R=18 r( IF c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight turnRight i) ELSE e( turnRight pickMarker turnRight e) i) turnLeft r) m)
5098,0.15340909090909088,DEF run m( REPEAT R=19 r( IF c( frontIsClear c) i( move turnLeft WHILE c( not c( noMarkersPresent c) c) w( pickMarker w) turnLeft i) turnLeft r) m)
7343,0.16477272727272724,DEF run m( move REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move w) move REPEAT R=14 r( turnLeft turnLeft r) w) turnLeft r) m)
7349,0.1761363636363636,DEF run m( move REPEAT R=14 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move w) move REPEAT R=14 r( turnLeft turnLeft r) w) turnLeft r) m)
7394,0.18181818181818177,DEF run m( move REPEAT R=17 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move w) move REPEAT R=14 r( turnLeft turnLeft r) w) turnLeft r) m)
7465,0.18749999999999994,DEF run m( move REPEAT R=19 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move w) move REPEAT R=14 r( turnLeft turnLeft r) w) turnLeft r) m)
8425,0.19318181818181812,DEF run m( REPEAT R=17 r( WHILE c( frontIsClear c) w( move turnRight WHILE c( markersPresent c) w( pickMarker w) w) turnLeft r) WHILE c( frontIsClear c) w( move w) m)
12670,1.0000000000000002,DEF run m( turnRight WHILE c( noMarkersPresent c) w( turnLeft turnRight WHILE c( frontIsClear c) w( move turnRight WHILE c( markersPresent c) w( pickMarker w) w) turnLeft w) pickMarker m)
