num_evaluations,best_reward,best_program
1,0.0,DEF run m( move m)
3,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( turnRight move pickMarker w) w) m)
6,0.09375,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( turnRight move pickMarker w) w) m)
105,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( turnRight move IF c( noMarkersPresent c) i( move i) pickMarker w) w) m)
2249,0.15625,DEF run m( move REPEAT R=11 r( REPEAT R=11 r( turnRight r) IFELSE c( noMarkersPresent c) i( turnRight turnRight i) ELSE e( pickMarker move e) IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) r) m)
2491,0.21875,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker w) m)
2521,0.28125,DEF run m( WHILE c( rightIsClear c) w( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker w) m)
2529,0.34375,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker w) m)
2617,0.40625,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) turnLeft turnRight pickMarker WHILE c( frontIsClear c) w( turnRight w) w) m)
40213,0.46875,DEF run m( WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( IF c( frontIsClear c) i( move i) i) turnLeft w) REPEAT R=1 r( pickMarker r) m)
