num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
9,0.027777777777777787,DEF run m( turnRight pickMarker m)
17,0.03298611111111112,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker move move turnLeft move i) move turnRight w) m)
18,0.07465277777777779,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft move IF c( frontIsClear c) i( move pickMarker move i) i) move turnRight w) m)
33,0.10069444444444448,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft turnLeft IF c( frontIsClear c) i( move pickMarker move i) i) move turnRight w) m)
60,0.11111111111111115,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker move i) i) move turnRight w) m)
63,0.12847222222222227,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker turnLeft i) i) move turnRight w) m)
68,0.3819444444444445,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( pickMarker i) i) move turnRight w) m)
214,0.39062500000000006,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( pickMarker i) i) IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker e) turnRight w) m)
236,0.5017361111111112,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( pickMarker i) i) IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker e) turnRight w) m)
331,0.513888888888889,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft turnLeft move turnRight IF c( frontIsClear c) i( pickMarker i) i) IF c( frontIsClear c) i( move i) turnRight w) m)
425,0.5885416666666669,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft turnLeft move turnRight IF c( rightIsClear c) i( pickMarker i) i) IF c( frontIsClear c) i( move i) turnRight w) m)
436,0.5937500000000002,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft turnLeft move turnRight IF c( markersPresent c) i( pickMarker i) i) IF c( frontIsClear c) i( move i) turnRight w) m)
559,0.8802083333333336,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft turnLeft WHILE c( frontIsClear c) w( move w) turnRight IF c( markersPresent c) i( pickMarker i) i) IF c( frontIsClear c) i( move i) turnRight w) m)
1109,0.8888888888888892,DEF run m( move REPEAT R=18 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft turnLeft w) move turnLeft w) turnLeft r) m)
1131,0.9513888888888891,DEF run m( turnRight turnRight REPEAT R=18 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker move turnLeft turnLeft w) move turnLeft w) turnLeft r) m)
169319,0.9513888888888893,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) REPEAT R=19 r( WHILE c( frontIsClear c) w( turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) move turnLeft IF c( markersPresent c) i( pickMarker move i) w) turnRight r) m)
184007,0.9895833333333335,DEF run m( turnLeft IF c( frontIsClear c) i( move move move turnRight move turnRight i) REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft pickMarker turnRight move turnLeft w) move turnLeft w) turnLeft r) move move m)
