num_evaluations,best_reward,best_program
1,0.1111111111111111,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
22,0.14756944444444445,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move turnRight e) WHILE c( noMarkersPresent c) w( putMarker w) r) w) m)
27,0.5104166666666667,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) WHILE c( noMarkersPresent c) w( putMarker w) r) w) m)
51,0.5173611111111113,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) WHILE c( noMarkersPresent c) w( putMarker w) r) w) m)
63,0.5833333333333336,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) WHILE c( noMarkersPresent c) w( putMarker w) r) w) m)
292,0.5972222222222224,DEF run m( putMarker turnLeft pickMarker turnRight turnRight WHILE c( leftIsClear c) w( turnLeft move REPEAT R=14 r( turnLeft WHILE c( frontIsClear c) w( move turnRight w) putMarker WHILE c( frontIsClear c) w( move turnLeft turnLeft w) r) turnLeft pickMarker move w) m)
401,0.6180555555555557,DEF run m( putMarker turnLeft pickMarker turnRight turnRight WHILE c( leftIsClear c) w( turnLeft move REPEAT R=14 r( turnLeft WHILE c( frontIsClear c) w( move turnRight w) putMarker WHILE c( frontIsClear c) w( move turnLeft turnLeft w) r) turnLeft pickMarker turnRight w) m)
676,0.7135416666666669,DEF run m( move REPEAT R=0 r( move r) WHILE c( not c( markersPresent c) c) w( REPEAT R=15 r( turnLeft WHILE c( rightIsClear c) w( putMarker turnRight move w) r) move w) turnLeft move m)
696,0.715277777777778,DEF run m( move REPEAT R=0 r( move r) WHILE c( not c( markersPresent c) c) w( REPEAT R=19 r( turnLeft WHILE c( rightIsClear c) w( putMarker turnRight move w) r) move w) turnLeft move m)
706,0.7638888888888891,DEF run m( turnRight REPEAT R=0 r( move r) WHILE c( not c( markersPresent c) c) w( REPEAT R=19 r( turnLeft WHILE c( rightIsClear c) w( putMarker turnRight move w) r) move w) turnLeft move m)
851,0.7847222222222224,DEF run m( turnRight REPEAT R=0 r( move r) WHILE c( not c( markersPresent c) c) w( REPEAT R=19 r( turnLeft WHILE c( rightIsClear c) w( putMarker turnRight move w) r) WHILE c( frontIsClear c) w( move w) w) turnLeft move m)
866,0.8506944444444448,DEF run m( turnRight REPEAT R=0 r( move r) WHILE c( not c( markersPresent c) c) w( turnLeft WHILE c( frontIsClear c) w( move w) w) turnLeft move m)
3216,0.8559027777777782,DEF run m( WHILE c( frontIsClear c) w( putMarker move REPEAT R=3 r( WHILE c( frontIsClear c) w( putMarker turnRight w) turnLeft r) w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) m)
3318,0.8715277777777782,DEF run m( WHILE c( not c( rightIsClear c) c) w( putMarker move REPEAT R=3 r( WHILE c( frontIsClear c) w( putMarker turnRight w) turnLeft r) w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) m)
9459,0.8750000000000004,DEF run m( REPEAT R=8 r( turnRight r) putMarker REPEAT R=16 r( turnLeft WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( turnLeft turnLeft turnLeft putMarker pickMarker i) move w) turnLeft IF c( frontIsClear c) i( move i) r) turnRight m)
21451,0.8836805555555559,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( leftIsClear c) w( turnRight w) w) turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft w) putMarker m)
22170,0.9010416666666672,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=5 r( turnLeft r) IF c( frontIsClear c) i( IFELSE c( rightIsClear c) i( turnRight turnRight i) ELSE e( move turnRight e) i) WHILE c( frontIsClear c) w( move w) w) turnLeft m)
50508,0.9079861111111116,DEF run m( putMarker REPEAT R=11 r( WHILE c( frontIsClear c) w( move w) turnLeft putMarker WHILE c( frontIsClear c) w( move putMarker putMarker IF c( frontIsClear c) i( turnRight i) WHILE c( not c( frontIsClear c) c) w( putMarker turnLeft w) w) r) m)
109753,0.9114583333333337,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) turnLeft REPEAT R=10 r( WHILE c( not c( frontIsClear c) c) w( turnRight w) move IF c( frontIsClear c) i( turnLeft i) r) r) m)
