num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
8,0.027777777777777787,DEF run m( move putMarker move turnRight m)
25,0.04861111111111112,DEF run m( putMarker turnLeft move turnRight putMarker turnLeft m)
46,0.052083333333333336,DEF run m( putMarker turnLeft turnLeft move WHILE c( leftIsClear c) w( turnRight putMarker move turnLeft IF c( rightIsClear c) i( move turnLeft turnRight move i) move w) m)
48,0.057291666666666664,DEF run m( putMarker turnLeft turnLeft move WHILE c( leftIsClear c) w( turnRight putMarker move turnLeft IF c( rightIsClear c) i( move turnLeft move i) move w) m)
50,0.06770833333333334,DEF run m( putMarker turnLeft turnLeft move WHILE c( noMarkersPresent c) w( turnRight putMarker move turnLeft IF c( rightIsClear c) i( move turnLeft move i) move w) m)
53,0.07812499999999999,DEF run m( putMarker turnLeft turnLeft turnRight move WHILE c( noMarkersPresent c) w( turnRight putMarker move turnLeft IF c( rightIsClear c) i( move turnLeft move i) move w) m)
55,0.09201388888888885,DEF run m( putMarker turnLeft turnLeft turnRight move WHILE c( noMarkersPresent c) w( turnRight putMarker move turnLeft IF c( frontIsClear c) i( move turnLeft move i) move w) m)
71,0.09201388888888888,DEF run m( putMarker turnLeft turnLeft turnRight move WHILE c( noMarkersPresent c) w( turnRight putMarker move turnLeft move w) m)
72,0.10763888888888887,DEF run m( putMarker turnLeft turnLeft turnRight move WHILE c( noMarkersPresent c) w( turnRight putMarker move turnLeft turnLeft w) m)
