num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
7,0.003125,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( putMarker move i) m)
13,0.00625,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( putMarker WHILE c( rightIsClear c) w( move turnRight turnLeft putMarker w) move IF c( frontIsClear c) i( turnLeft move turnRight move i) i) m)
20,0.009375000000000001,DEF run m( move turnRight putMarker move move turnRight IF c( frontIsClear c) i( putMarker WHILE c( rightIsClear c) w( move turnRight turnLeft putMarker w) move IF c( frontIsClear c) i( turnLeft move turnRight move i) i) m)
27,0.015625,DEF run m( move turnRight putMarker move move turnRight IF c( frontIsClear c) i( putMarker WHILE c( rightIsClear c) w( move turnRight turnLeft putMarker w) move IF c( frontIsClear c) i( turnLeft move turnRight move i) i) m)
206,0.028125,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( leftIsClear c) w( turnLeft move move putMarker w) w) turnRight turnRight r) m)
224,0.040625,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( leftIsClear c) w( turnLeft move move w) w) turnRight turnRight r) m)
296,0.0625,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( leftIsClear c) w( turnLeft move turnRight w) w) turnRight turnRight r) m)
453,0.06875,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( putMarker move turnRight putMarker turnLeft WHILE c( leftIsClear c) w( turnLeft move turnRight w) w) turnRight turnRight r) m)
455,0.07812500000000001,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( putMarker move turnRight putMarker turnLeft WHILE c( leftIsClear c) w( turnLeft move turnRight w) w) turnRight turnRight r) m)
465,0.08750000000000002,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( putMarker move turnRight putMarker turnLeft WHILE c( leftIsClear c) w( turnLeft turnLeft turnRight move turnRight w) w) turnRight turnRight r) m)
547,0.09062500000000001,DEF run m( turnLeft REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( putMarker move WHILE c( leftIsClear c) w( turnLeft turnLeft turnRight move turnRight w) w) turnRight turnRight r) m)
1354,0.09687500000000002,DEF run m( turnRight turnRight REPEAT R=19 r( turnLeft WHILE c( frontIsClear c) w( putMarker turnLeft turnRight move w) r) m)
3885,0.1,DEF run m( putMarker turnRight WHILE c( rightIsClear c) w( REPEAT R=18 r( WHILE c( frontIsClear c) w( move w) r) turnRight putMarker move w) m)
5009,0.103125,DEF run m( move turnRight move turnRight WHILE c( frontIsClear c) w( putMarker pickMarker move putMarker IF c( markersPresent c) i( move move i) move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move i) i) turnRight w) m)
5075,0.11249999999999999,DEF run m( move turnRight move turnRight WHILE c( frontIsClear c) w( putMarker pickMarker move putMarker IF c( rightIsClear c) i( move move i) move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move i) i) turnRight w) m)
5205,0.121875,DEF run m( move turnRight move turnRight WHILE c( frontIsClear c) w( putMarker pickMarker move putMarker IF c( markersPresent c) i( move move i) move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move i) i) turnRight w) m)
13703,0.128125,DEF run m( REPEAT R=7 r( WHILE c( rightIsClear c) w( turnLeft putMarker turnRight turnRight WHILE c( frontIsClear c) w( move w) w) turnLeft move r) move move turnRight m)
15557,0.175,DEF run m( turnRight WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move move turnRight i) IFELSE c( leftIsClear c) i( IFELSE c( frontIsClear c) i( move move putMarker putMarker i) ELSE e( turnRight e) i) ELSE e( move e) w) m)
29046,0.21250000000000002,DEF run m( REPEAT R=10 r( IF c( frontIsClear c) i( turnRight i) r) turnRight turnLeft REPEAT R=18 r( REPEAT R=6 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) move turnRight move r) m)
