num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
66,0.0625,DEF run m( move turnRight pickMarker move IF c( frontIsClear c) i( IF c( leftIsClear c) i( move i) i) m)
305,0.09375,DEF run m( REPEAT R=15 r( turnRight move turnLeft turnRight pickMarker r) WHILE c( frontIsClear c) w( move move turnLeft turnLeft w) m)
1206,0.125,DEF run m( REPEAT R=14 r( move turnRight move turnRight IFELSE c( markersPresent c) i( move i) ELSE e( move e) REPEAT R=6 r( IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( pickMarker move e) r) r) move m)
1244,0.15625,DEF run m( REPEAT R=14 r( move turnRight move REPEAT R=9 r( turnLeft r) REPEAT R=6 r( IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( pickMarker move e) r) r) move m)
1260,0.21875,DEF run m( REPEAT R=14 r( move turnRight move REPEAT R=9 r( turnLeft r) REPEAT R=12 r( IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( pickMarker move e) r) r) move m)
16620,0.25,DEF run m( REPEAT R=13 r( turnRight r) turnRight WHILE c( noMarkersPresent c) w( turnLeft IF c( rightIsClear c) i( move i) w) WHILE c( markersPresent c) w( pickMarker turnLeft move pickMarker w) IF c( leftIsClear c) i( move turnLeft move putMarker i) m)
16668,0.3125,DEF run m( REPEAT R=13 r( turnRight r) move move WHILE c( noMarkersPresent c) w( turnLeft IF c( rightIsClear c) i( move i) w) WHILE c( markersPresent c) w( pickMarker turnLeft move pickMarker w) IF c( leftIsClear c) i( move turnLeft move putMarker i) m)
43310,0.34375,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( move e) w) turnRight w) WHILE c( frontIsClear c) w( pickMarker pickMarker turnRight w) m)
78755,0.375,DEF run m( turnRight WHILE c( noMarkersPresent c) w( REPEAT R=17 r( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker move w) r) IF c( leftIsClear c) i( turnLeft i) w) m)
78759,0.46875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( REPEAT R=17 r( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( pickMarker move w) r) turnLeft w) m)
