num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( pickMarker m)
50,0.06250000000000001,DEF run m( IF c( not c( markersPresent c) c) i( move turnRight move i) WHILE c( frontIsClear c) w( pickMarker move w) m)
60,0.09027777777777779,DEF run m( IF c( not c( markersPresent c) c) i( move turnRight move i) WHILE c( not c( noMarkersPresent c) c) w( pickMarker move w) m)
65,0.16666666666666666,DEF run m( turnLeft WHILE c( not c( noMarkersPresent c) c) w( pickMarker move w) m)
950,0.40277777777777785,DEF run m( turnLeft WHILE c( markersPresent c) w( pickMarker WHILE c( not c( frontIsClear c) c) w( IF c( frontIsClear c) i( putMarker i) turnRight w) move w) m)
959,0.43055555555555564,DEF run m( turnLeft WHILE c( markersPresent c) w( pickMarker WHILE c( not c( frontIsClear c) c) w( IF c( frontIsClear c) i( putMarker i) turnLeft w) move w) m)
991,0.5555555555555556,DEF run m( move WHILE c( markersPresent c) w( pickMarker WHILE c( not c( frontIsClear c) c) w( IF c( frontIsClear c) i( putMarker i) turnLeft w) move w) m)
4123,0.6666666666666666,DEF run m( turnLeft move IF c( markersPresent c) i( WHILE c( leftIsClear c) w( pickMarker IF c( frontIsClear c) i( turnRight i) turnLeft IF c( frontIsClear c) i( move i) w) i) move m)
30757,0.762152777777778,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( pickMarker e) IFELSE c( frontIsClear c) i( move IF c( frontIsClear c) i( move i) i) ELSE e( turnLeft move e) w) m)
169117,0.8888888888888892,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( WHILE c( markersPresent c) w( turnRight pickMarker turnLeft move turnLeft move w) move IF c( not c( frontIsClear c) c) i( turnLeft turnRight turnLeft move i) w) w) m)
274587,0.9791666666666667,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnLeft turnRight move WHILE c( markersPresent c) w( turnLeft pickMarker w) IF c( frontIsClear c) i( move i) w) turnLeft turnLeft w) m)
407070,0.9895833333333336,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker move turnLeft i) ELSE e( move e) IF c( frontIsClear c) i( move i) w) turnLeft w) m)
