num_evaluations,best_reward,best_program
1,0.0920138888888889,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
6,0.09722222222222224,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight putMarker move e) w) i) m)
25,0.11631944444444446,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight putMarker move e) w) i) m)
29,0.14236111111111113,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
36,0.3263888888888889,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( frontIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
42,0.33159722222222227,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( rightIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
53,0.3680555555555557,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( rightIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
75,0.6093750000000001,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( rightIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
76,0.6475694444444446,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( frontIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
98,0.7708333333333336,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight IF c( frontIsClear c) i( move turnLeft turnLeft i) turnLeft w) i) m)
119,0.791666666666667,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight IF c( frontIsClear c) i( move turnLeft i) turnLeft w) i) m)
130,0.8315972222222227,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight IF c( frontIsClear c) i( move turnLeft i) turnLeft w) i) m)
211,0.8871527777777782,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnRight w) IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight IF c( frontIsClear c) i( move turnLeft i) turnLeft w) i) m)
239,0.8923611111111115,DEF run m( WHILE c( frontIsClear c) w( move w) IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight IF c( frontIsClear c) i( move turnLeft i) turnLeft w) i) m)
3794,0.9079861111111116,DEF run m( REPEAT R=19 r( WHILE c( frontIsClear c) w( move w) REPEAT R=7 r( turnLeft WHILE c( rightIsClear c) w( turnRight move w) r) r) m)
294329,0.9097222222222228,DEF run m( WHILE c( frontIsClear c) w( move w) putMarker putMarker REPEAT R=6 r( turnLeft r) WHILE c( markersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( putMarker turnLeft w) putMarker w) turnLeft w) m)
