num_evaluations,best_reward,best_program
1,-0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
3,0.0,DEF run m( WHILE c( frontIsClear c) w( turnLeft turnRight w) m)
15,0.045138888888888895,DEF run m( WHILE c( frontIsClear c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( putMarker w) turnRight move turnRight w) m)
18,0.06770833333333334,DEF run m( WHILE c( frontIsClear c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( putMarker w) turnRight move turnLeft move w) m)
41,0.2708333333333334,DEF run m( WHILE c( frontIsClear c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( turnRight putMarker move w) turnRight move turnLeft move w) m)
98,0.27604166666666674,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( turnRight putMarker move w) turnRight move turnLeft move w) m)
115,0.357638888888889,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( turnRight putMarker move w) turnRight WHILE c( frontIsClear c) w( move w) turnLeft move w) m)
125,0.35937500000000006,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( not c( markersPresent c) c) w( turnLeft putMarker move w) turnRight WHILE c( frontIsClear c) w( move w) turnLeft move w) m)
3833,0.4236111111111111,DEF run m( putMarker turnRight turnRight move REPEAT R=18 r( IF c( not c( markersPresent c) c) i( putMarker WHILE c( not c( frontIsClear c) c) w( turnRight w) move i) r) m)
3993,0.4444444444444444,DEF run m( putMarker turnRight turnRight move REPEAT R=19 r( IF c( not c( markersPresent c) c) i( putMarker WHILE c( not c( frontIsClear c) c) w( turnRight w) move i) r) m)
8682,0.6024305555555557,DEF run m( REPEAT R=14 r( turnRight WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( putMarker turnRight turnLeft i) move w) r) m)
38901,0.6302083333333335,DEF run m( WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) REPEAT R=15 r( turnRight r) WHILE c( noMarkersPresent c) w( putMarker IF c( not c( frontIsClear c) c) i( turnLeft i) move w) w) m)
38920,0.6354166666666669,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( move i) REPEAT R=15 r( turnRight r) WHILE c( noMarkersPresent c) w( putMarker IF c( not c( frontIsClear c) c) i( turnLeft i) move w) w) m)
77653,0.8802083333333336,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move turnRight move turnLeft i) ELSE e( putMarker move turnLeft turnRight e) turnRight w) turnRight w) m)
224714,0.9097222222222225,DEF run m( IF c( frontIsClear c) i( turnRight putMarker i) WHILE c( rightIsClear c) w( WHILE c( markersPresent c) w( IF c( not c( frontIsClear c) c) i( turnRight i) move w) putMarker turnRight w) turnLeft REPEAT R=12 r( move putMarker r) m)
224837,0.9131944444444448,DEF run m( IF c( frontIsClear c) i( turnLeft putMarker i) WHILE c( rightIsClear c) w( WHILE c( markersPresent c) w( IF c( not c( frontIsClear c) c) i( turnRight i) move w) putMarker turnRight w) turnLeft REPEAT R=12 r( move putMarker r) m)
318206,0.9375,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) turnLeft IF c( markersPresent c) i( turnLeft WHILE c( markersPresent c) w( move w) turnRight i) w) turnRight m)
610553,0.9826388888888892,DEF run m( REPEAT R=19 r( REPEAT R=10 r( IFELSE c( noMarkersPresent c) i( putMarker turnLeft i) ELSE e( turnLeft turnRight e) IF c( frontIsClear c) i( move i) IF c( not c( frontIsClear c) c) i( turnLeft i) r) turnLeft r) m)
610560,0.9878472222222224,DEF run m( REPEAT R=19 r( REPEAT R=18 r( IFELSE c( noMarkersPresent c) i( putMarker turnLeft i) ELSE e( turnLeft turnRight e) IF c( frontIsClear c) i( move i) IF c( not c( frontIsClear c) c) i( turnLeft i) r) turnLeft r) m)
610642,0.998263888888889,DEF run m( REPEAT R=19 r( REPEAT R=18 r( IFELSE c( noMarkersPresent c) i( putMarker turnLeft i) ELSE e( turnLeft turnRight e) IF c( frontIsClear c) i( move i) IF c( not c( frontIsClear c) c) i( turnLeft i) r) turnRight r) m)
