num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
3,0.003125,DEF run m( move turnRight move putMarker IF c( frontIsClear c) i( move i) m)
9,0.015625,DEF run m( move turnRight move WHILE c( frontIsClear c) w( move w) REPEAT R=13 r( WHILE c( frontIsClear c) w( move move turnLeft turnLeft putMarker turnRight w) turnRight r) m)
29,0.053125000000000006,DEF run m( move turnRight move WHILE c( frontIsClear c) w( move w) REPEAT R=13 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) m)
50,0.05937499999999999,DEF run m( putMarker turnRight move WHILE c( frontIsClear c) w( move w) REPEAT R=13 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) m)
52,0.059375000000000004,DEF run m( putMarker turnLeft move WHILE c( frontIsClear c) w( move w) REPEAT R=13 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) m)
57,0.06250000000000001,DEF run m( putMarker turnLeft move putMarker REPEAT R=13 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) m)
60,0.084375,DEF run m( putMarker turnLeft move putMarker REPEAT R=12 r( WHILE c( frontIsClear c) w( move putMarker w) turnRight r) m)
2332,0.08750000000000002,DEF run m( REPEAT R=8 r( WHILE c( leftIsClear c) w( WHILE c( rightIsClear c) w( turnRight move turnLeft putMarker move w) turnLeft w) IF c( leftIsClear c) i( turnLeft move putMarker move turnRight i) turnRight move putMarker r) m)
5183,0.109375,DEF run m( REPEAT R=14 r( turnLeft REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft turnRight e) r) r) move m)
5186,0.175,DEF run m( REPEAT R=14 r( turnLeft REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) r) move m)
5284,0.20937499999999998,DEF run m( REPEAT R=14 r( turnLeft REPEAT R=19 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) r) move m)
5311,0.24999999999999997,DEF run m( REPEAT R=16 r( turnLeft REPEAT R=19 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) r) move m)
5350,0.27499999999999997,DEF run m( REPEAT R=13 r( turnLeft REPEAT R=19 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) r) r) move m)
78455,0.28125,DEF run m( IF c( rightIsClear c) i( turnRight i) turnRight REPEAT R=14 r( REPEAT R=10 r( turnLeft putMarker WHILE c( frontIsClear c) w( move w) r) turnLeft move putMarker r) m)
