num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
26,0.005681818181818182,DEF run m( WHILE c( frontIsClear c) w( move move WHILE c( frontIsClear c) w( move pickMarker w) w) m)
37,0.011363636363636364,DEF run m( move IF c( frontIsClear c) i( pickMarker i) WHILE c( noMarkersPresent c) w( move turnLeft turnLeft w) REPEAT R=3 r( move move putMarker r) m)
44,0.017045454545454544,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) m)
103,0.15340909090909088,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( turnRight i) IF c( markersPresent c) i( pickMarker i) w) m)
549,0.1761363636363636,DEF run m( IF c( frontIsClear c) i( move i) turnRight REPEAT R=9 r( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) IF c( markersPresent c) i( pickMarker i) turnLeft IF c( frontIsClear c) i( move i) r) m)
1346,0.18749999999999994,DEF run m( move turnRight REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) pickMarker m)
2107,0.19318181818181812,DEF run m( move turnRight REPEAT R=18 r( IF c( markersPresent c) i( pickMarker turnLeft i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) turnLeft pickMarker m)
2193,0.22159090909090906,DEF run m( move turnRight REPEAT R=18 r( IF c( markersPresent c) i( pickMarker turnLeft i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight i) w) turnLeft r) turnLeft pickMarker m)
2195,0.24431818181818177,DEF run m( move turnRight REPEAT R=18 r( IF c( markersPresent c) i( pickMarker turnLeft i) WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( turnRight i) w) turnLeft r) turnLeft pickMarker m)
4566,0.27272727272727265,DEF run m( move REPEAT R=18 r( IF c( markersPresent c) i( pickMarker i) move turnRight REPEAT R=18 r( IF c( markersPresent c) i( pickMarker turnLeft i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) turnLeft r) m)
4686,0.2784090909090909,DEF run m( move REPEAT R=18 r( IF c( markersPresent c) i( move i) move turnRight REPEAT R=18 r( IF c( markersPresent c) i( pickMarker turnLeft i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) turnLeft r) m)
5074,0.28409090909090906,DEF run m( REPEAT R=18 r( REPEAT R=16 r( IF c( markersPresent c) i( pickMarker turnRight i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) m)
5077,0.3352272727272727,DEF run m( REPEAT R=18 r( REPEAT R=16 r( IF c( markersPresent c) i( pickMarker turnLeft i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) m)
5120,1.0000000000000002,DEF run m( REPEAT R=18 r( REPEAT R=18 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) r) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) m)
