num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
49,0.0625,DEF run m( move pickMarker WHILE c( rightIsClear c) w( move move w) m)
186,0.125,DEF run m( move turnLeft IF c( markersPresent c) i( pickMarker i) REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
275,0.15625,DEF run m( move turnRight IF c( markersPresent c) i( pickMarker i) REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
296,0.21875,DEF run m( turnLeft turnRight IF c( markersPresent c) i( pickMarker i) REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
398,0.28125,DEF run m( turnLeft turnRight turnRight REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
498,0.3125,DEF run m( turnLeft turnRight turnRight REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
563,0.375,DEF run m( turnLeft turnRight turnRight REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft WHILE c( rightIsClear c) w( move move w) m)
1344,0.40625,DEF run m( WHILE c( rightIsClear c) w( turnRight REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) IF c( rightIsClear c) i( turnRight i) w) m)
1653,0.46875,DEF run m( REPEAT R=19 r( turnRight REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) turnLeft r) m)
2905,0.5,DEF run m( WHILE c( noMarkersPresent c) w( turnRight REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) IF c( markersPresent c) i( pickMarker i) r) IF c( frontIsClear c) i( move i) w) m)
