num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
6,0.027777777777777787,DEF run m( WHILE c( frontIsClear c) w( turnLeft turnRight turnRight pickMarker w) move m)
8,0.05555555555555557,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight turnRight pickMarker w) move m)
22,0.09027777777777779,DEF run m( WHILE c( markersPresent c) w( pickMarker move w) move m)
40,0.24652777777777785,DEF run m( WHILE c( markersPresent c) w( REPEAT R=2 r( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnLeft e) r) move w) move m)
63,0.44791666666666674,DEF run m( WHILE c( markersPresent c) w( REPEAT R=10 r( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnLeft e) r) move w) move m)
283,0.5763888888888891,DEF run m( IF c( leftIsClear c) i( turnLeft i) move move WHILE c( rightIsClear c) w( IF c( markersPresent c) i( pickMarker i) REPEAT R=13 r( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnLeft e) r) turnRight w) m)
329,0.6388888888888892,DEF run m( IF c( leftIsClear c) i( turnLeft i) move move WHILE c( rightIsClear c) w( IF c( markersPresent c) i( pickMarker i) REPEAT R=17 r( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnLeft e) r) turnRight w) m)
336,0.6666666666666666,DEF run m( turnLeft move WHILE c( rightIsClear c) w( IF c( markersPresent c) i( pickMarker i) REPEAT R=17 r( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnLeft e) r) turnRight w) m)
5864,0.670138888888889,DEF run m( REPEAT R=17 r( turnLeft WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight pickMarker i) w) turnLeft IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
5956,1.0000000000000002,DEF run m( REPEAT R=17 r( move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight pickMarker i) w) turnLeft IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
