num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
2,0.0625,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( move turnRight w) w) m)
39,0.25,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=8 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) w) m)
117,0.375,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=12 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) w) m)
194,0.5,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=12 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) w) m)
3069,0.5625,DEF run m( WHILE c( frontIsClear c) w( turnRight REPEAT R=12 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) w) m)
3127,0.625,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=2 r( move r) REPEAT R=12 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) w) m)
4037,0.6875,DEF run m( REPEAT R=18 r( IF c( frontIsClear c) i( move i) REPEAT R=12 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) r) m)
4055,0.8125,DEF run m( REPEAT R=18 r( IF c( frontIsClear c) i( move i) REPEAT R=7 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) r) m)
5643,0.9375,DEF run m( REPEAT R=18 r( IF c( frontIsClear c) i( move i) REPEAT R=13 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) r) m)
6953,1.0,DEF run m( REPEAT R=18 r( turnLeft REPEAT R=12 r( IFELSE c( rightIsClear c) i( turnRight move move i) ELSE e( turnLeft e) r) r) m)
