num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
4,0.027777777777777787,DEF run m( putMarker m)
19,0.046875000000000014,DEF run m( REPEAT R=2 r( move putMarker r) move m)
22,0.06250000000000001,DEF run m( REPEAT R=7 r( move putMarker r) move m)
104,0.09027777777777779,DEF run m( REPEAT R=7 r( putMarker move r) move m)
212,0.29340277777777785,DEF run m( REPEAT R=7 r( IF c( frontIsClear c) i( move IF c( markersPresent c) i( pickMarker i) i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) move m)
256,0.33854166666666674,DEF run m( REPEAT R=8 r( IF c( frontIsClear c) i( move IF c( markersPresent c) i( pickMarker i) i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) move m)
314,0.5243055555555556,DEF run m( REPEAT R=8 r( IF c( frontIsClear c) i( move putMarker i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) move m)
694,0.5503472222222222,DEF run m( REPEAT R=8 r( IF c( frontIsClear c) i( move putMarker i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) move WHILE c( noMarkersPresent c) w( putMarker move w) m)
743,0.5625,DEF run m( REPEAT R=8 r( IF c( frontIsClear c) i( move putMarker i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) move turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
2867,0.6527777777777779,DEF run m( WHILE c( frontIsClear c) w( IF c( markersPresent c) i( move i) IF c( markersPresent c) i( turnRight i) IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) w) m)
2870,0.6875,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight i) IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) w) m)
3684,0.7239583333333336,DEF run m( REPEAT R=18 r( REPEAT R=17 r( IF c( markersPresent c) i( turnLeft move turnRight i) IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) move r) turnRight r) m)
3721,0.9982638888888891,DEF run m( REPEAT R=18 r( REPEAT R=17 r( IF c( markersPresent c) i( turnLeft turnRight turnRight i) IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) move r) turnRight r) m)
13123,1.0000000000000002,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) REPEAT R=18 r( REPEAT R=19 r( turnRight IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) move r) turnLeft r) turnLeft move m)
