num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
9,0.003125,DEF run m( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker turnRight i) w) m)
12,0.00625,DEF run m( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move turnRight i) w) m)
60,0.009375000000000001,DEF run m( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker move turnRight i) w) m)
121,0.04062500000000001,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
139,0.04687500000000001,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( move i) w) m)
221,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( putMarker turnRight i) w) m)
223,0.075,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( putMarker turnRight i) w) m)
229,0.0875,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( putMarker turnRight i) w) m)
295,0.10624999999999998,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( IF c( leftIsClear c) i( turnLeft i) i) IF c( rightIsClear c) i( putMarker turnRight i) w) m)
1611,0.14375000000000002,DEF run m( WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( markersPresent c) i( putMarker turnRight i) putMarker WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft w) m)
7611,0.165625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) REPEAT R=3 r( REPEAT R=3 r( turnRight r) r) WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( putMarker turnRight i) w) m)
39275,0.25312500000000004,DEF run m( WHILE c( frontIsClear c) w( putMarker turnRight IF c( frontIsClear c) i( putMarker i) WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight REPEAT R=4 r( move r) w) m)
39313,0.28125000000000006,DEF run m( WHILE c( frontIsClear c) w( putMarker turnRight putMarker WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight REPEAT R=4 r( move r) w) m)
39369,0.328125,DEF run m( WHILE c( frontIsClear c) w( putMarker turnRight putMarker WHILE c( frontIsClear c) w( move w) IF c( rightIsClear c) i( turnRight i) move WHILE c( frontIsClear c) w( move w) turnRight REPEAT R=4 r( move r) w) m)
39386,0.39062500000000006,DEF run m( WHILE c( frontIsClear c) w( putMarker turnRight putMarker WHILE c( frontIsClear c) w( move w) IF c( rightIsClear c) i( turnRight i) move WHILE c( frontIsClear c) w( move w) turnRight REPEAT R=4 r( move r) w) m)
51123,0.3999999999999999,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( putMarker turnRight putMarker WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight REPEAT R=4 r( move r) w) w) m)
