num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
35,0.0625,DEF run m( IF c( rightIsClear c) i( move pickMarker pickMarker putMarker i) IF c( frontIsClear c) i( move turnRight i) m)
71,0.09375,DEF run m( IF c( rightIsClear c) i( move pickMarker pickMarker putMarker i) IF c( frontIsClear c) i( turnLeft IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnRight i) m)
354,0.125,DEF run m( WHILE c( frontIsClear c) w( turnRight move pickMarker w) REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) m)
387,0.21875,DEF run m( WHILE c( frontIsClear c) w( turnRight move pickMarker w) REPEAT R=15 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) m)
397,0.34375,DEF run m( WHILE c( markersPresent c) w( turnRight move pickMarker w) REPEAT R=15 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) m)
398,0.375,DEF run m( WHILE c( markersPresent c) w( turnRight move pickMarker w) REPEAT R=15 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight i) w) turnLeft r) m)
1397,0.40625,DEF run m( turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
2117,0.4375,DEF run m( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight move e) REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move IF c( markersPresent c) i( pickMarker i) i) ELSE e( turnLeft e) r) m)
2444,0.46875,DEF run m( turnRight REPEAT R=11 r( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft r) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) m)
8261,0.5,DEF run m( REPEAT R=18 r( WHILE c( markersPresent c) w( pickMarker w) REPEAT R=3 r( IF c( rightIsClear c) i( turnRight move i) IF c( markersPresent c) i( pickMarker i) turnLeft r) r) move pickMarker m)
