num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
10,0.046875000000000014,DEF run m( pickMarker move IF c( not c( leftIsClear c) c) i( move i) WHILE c( frontIsClear c) w( pickMarker pickMarker pickMarker turnRight w) WHILE c( frontIsClear c) w( move w) turnLeft m)
20,0.05555555555555557,DEF run m( pickMarker move WHILE c( markersPresent c) w( pickMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) m)
41,0.06597222222222224,DEF run m( pickMarker move pickMarker IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight pickMarker e) m)
47,0.07465277777777779,DEF run m( pickMarker move pickMarker IFELSE c( markersPresent c) i( move i) ELSE e( move pickMarker e) m)
107,0.07986111111111112,DEF run m( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) move pickMarker IFELSE c( markersPresent c) i( move i) ELSE e( move pickMarker e) m)
128,0.09027777777777779,DEF run m( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) IF c( rightIsClear c) i( turnRight i) pickMarker IFELSE c( markersPresent c) i( move i) ELSE e( move pickMarker e) m)
242,0.09548611111111112,DEF run m( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) IF c( leftIsClear c) i( turnLeft i) pickMarker IFELSE c( markersPresent c) i( move i) ELSE e( move pickMarker e) m)
272,0.1371527777777778,DEF run m( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) IF c( leftIsClear c) i( turnLeft i) pickMarker WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) m)
304,0.16666666666666666,DEF run m( move IF c( leftIsClear c) i( turnLeft i) pickMarker WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) m)
392,0.1840277777777778,DEF run m( move IF c( leftIsClear c) i( turnLeft i) pickMarker WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight IF c( markersPresent c) i( pickMarker i) i) w) m)
406,0.19965277777777776,DEF run m( move IF c( leftIsClear c) i( turnLeft i) move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight IF c( markersPresent c) i( pickMarker i) i) w) m)
420,0.3541666666666667,DEF run m( IF c( markersPresent c) i( pickMarker i) IF c( leftIsClear c) i( turnLeft i) move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight IF c( markersPresent c) i( pickMarker i) i) w) m)
1217,0.43576388888888906,DEF run m( IF c( leftIsClear c) i( turnLeft i) move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnRight IF c( leftIsClear c) i( pickMarker i) i) w) IF c( markersPresent c) i( pickMarker move i) m)
1403,0.5277777777777779,DEF run m( turnLeft IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) w) m)
1413,0.6666666666666666,DEF run m( turnLeft IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( REPEAT R=18 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) w) m)
4726,0.7777777777777781,DEF run m( turnLeft pickMarker WHILE c( frontIsClear c) w( REPEAT R=18 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) IF c( markersPresent c) i( turnLeft i) w) move m)
4768,0.8333333333333338,DEF run m( turnLeft pickMarker WHILE c( frontIsClear c) w( REPEAT R=18 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) IF c( noMarkersPresent c) i( turnLeft i) w) move m)
7510,0.8940972222222225,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) IF c( markersPresent c) i( turnLeft i) w) m)
7546,0.916666666666667,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=4 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) IF c( markersPresent c) i( turnLeft i) w) m)
7645,0.9270833333333337,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=2 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) IF c( markersPresent c) i( turnLeft i) w) m)
10540,1.0000000000000002,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnRight i) IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
