num_evaluations,best_reward,best_program
1,0.0625,DEF run m( move m)
559,0.125,DEF run m( WHILE c( frontIsClear c) w( move putMarker IF c( leftIsClear c) i( IF c( frontIsClear c) i( move move turnLeft putMarker i) i) w) WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( turnLeft move move w) i) w) m)
1983,0.3125,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move move turnLeft w) turnRight r) m)
1998,0.375,DEF run m( REPEAT R=15 r( WHILE c( frontIsClear c) w( move move turnLeft w) turnRight r) m)
2216,0.5625,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move putMarker turnRight w) WHILE c( frontIsClear c) w( move w) i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) e) r) m)
2292,0.625,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move putMarker turnRight w) WHILE c( frontIsClear c) w( move w) i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) e) r) m)
2796,0.6875,DEF run m( REPEAT R=19 r( IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move putMarker turnRight w) WHILE c( frontIsClear c) w( move w) i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) e) r) m)
4819,0.75,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move putMarker turnRight w) IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
5885,0.9375,DEF run m( move WHILE c( frontIsClear c) w( move w) REPEAT R=17 r( WHILE c( frontIsClear c) w( move IF c( not c( rightIsClear c) c) i( turnLeft i) putMarker turnRight w) turnLeft r) move m)
5888,1.0,DEF run m( move turnLeft REPEAT R=17 r( WHILE c( frontIsClear c) w( move IF c( not c( rightIsClear c) c) i( turnLeft i) putMarker turnRight w) turnLeft r) move m)
