num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
2,0.046875000000000014,DEF run m( move IFELSE c( frontIsClear c) i( move i) ELSE e( move turnRight e) m)
6,0.048611111111111126,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) IFELSE c( frontIsClear c) i( move i) ELSE e( move turnRight e) m)
13,0.053819444444444454,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) WHILE c( frontIsClear c) w( turnLeft move move turnLeft w) WHILE c( markersPresent c) w( move putMarker move turnRight w) m)
30,0.07812500000000001,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( markersPresent c) w( move putMarker move turnRight w) m)
32,0.140625,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move putMarker move turnRight w) m)
43,0.16840277777777782,DEF run m( WHILE c( markersPresent c) w( move turnRight w) IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move putMarker move turnRight w) m)
62,0.171875,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move putMarker move turnRight w) m)
110,0.17708333333333337,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move turnLeft move turnRight w) m)
113,0.18055555555555558,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move turnLeft move turnRight w) m)
154,0.19965277777777782,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move move move turnRight w) m)
156,0.32986111111111116,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move move WHILE c( frontIsClear c) w( move w) turnRight w) m)
220,0.498263888888889,DEF run m( move IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move putMarker WHILE c( frontIsClear c) w( move w) turnRight w) m)
248,0.6059027777777781,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( IF c( rightIsClear c) i( turnRight move i) e) WHILE c( frontIsClear c) w( move putMarker WHILE c( frontIsClear c) w( move w) turnRight w) m)
249,0.6475694444444446,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move putMarker WHILE c( frontIsClear c) w( move w) turnRight w) m)
367,0.7638888888888893,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move putMarker WHILE c( frontIsClear c) w( move w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) w) m)
392,0.8611111111111115,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move putMarker WHILE c( frontIsClear c) w( turnLeft w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) w) m)
