num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
10,0.027777777777777787,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( move putMarker w) IF c( frontIsClear c) i( move move move i) IF c( frontIsClear c) i( move turnRight move i) w) m)
28,0.04861111111111112,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( move putMarker w) IF c( frontIsClear c) i( move move move i) IF c( frontIsClear c) i( move turnRight move i) w) m)
30,0.06944444444444445,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( move putMarker w) move IF c( frontIsClear c) i( move turnRight move i) w) m)
77,0.09027777777777779,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( move putMarker w) IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( turnRight putMarker e) w) m)
117,0.14756944444444445,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move putMarker w) IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( turnRight putMarker e) w) m)
122,0.25000000000000006,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( turnRight putMarker e) w) m)
142,0.32291666666666674,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( turnRight e) w) m)
980,0.4270833333333333,DEF run m( IF c( leftIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) IFELSE c( leftIsClear c) i( turnLeft putMarker i) ELSE e( turnRight e) w) m)
8714,0.5555555555555556,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=9 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) putMarker w) r) m)
8721,0.5902777777777779,DEF run m( turnLeft putMarker REPEAT R=9 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) putMarker w) r) m)
8724,0.6302083333333335,DEF run m( IF c( markersPresent c) i( putMarker i) putMarker REPEAT R=9 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) putMarker w) r) m)
13349,0.6406250000000001,DEF run m( putMarker turnRight turnRight IF c( leftIsClear c) i( IF c( frontIsClear c) i( move i) putMarker i) REPEAT R=9 r( turnRight WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) putMarker w) r) m)
13380,0.6458333333333334,DEF run m( putMarker turnRight turnRight IF c( leftIsClear c) i( IF c( frontIsClear c) i( move i) putMarker move i) REPEAT R=9 r( turnRight WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move w) putMarker w) r) m)
14464,0.6961805555555558,DEF run m( turnRight REPEAT R=7 r( turnLeft REPEAT R=8 r( WHILE c( markersPresent c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
26449,0.7083333333333337,DEF run m( move turnRight REPEAT R=14 r( turnLeft REPEAT R=3 r( WHILE c( markersPresent c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
26510,0.7725694444444448,DEF run m( move turnLeft REPEAT R=14 r( turnLeft REPEAT R=3 r( WHILE c( markersPresent c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
37426,0.8003472222222224,DEF run m( REPEAT R=19 r( REPEAT R=3 r( WHILE c( markersPresent c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft turnLeft r) m)
54457,0.8055555555555559,DEF run m( putMarker turnRight turnRight move REPEAT R=14 r( turnLeft REPEAT R=3 r( WHILE c( markersPresent c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
56293,0.8211805555555558,DEF run m( turnLeft REPEAT R=14 r( turnLeft REPEAT R=3 r( WHILE c( markersPresent c) w( move turnLeft w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
77009,0.8263888888888891,DEF run m( REPEAT R=14 r( turnLeft REPEAT R=3 r( WHILE c( markersPresent c) w( move turnLeft w) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) putMarker move r) turnLeft r) m)
