num_evaluations,best_reward,best_program
1,0.0,DEF run m( move m)
7,0.00625,DEF run m( WHILE c( leftIsClear c) w( turnLeft move move move w) pickMarker m)
14,0.009375000000000001,DEF run m( WHILE c( leftIsClear c) w( turnLeft move move move w) IF c( noMarkersPresent c) i( putMarker i) turnLeft m)
40,0.0125,DEF run m( WHILE c( leftIsClear c) w( turnLeft move move move w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
85,0.015625,DEF run m( WHILE c( leftIsClear c) w( turnLeft move IFELSE c( frontIsClear c) i( move i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) e) move w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
88,0.01875,DEF run m( WHILE c( leftIsClear c) w( turnLeft move IFELSE c( frontIsClear c) i( move i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( move e) e) move w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
91,0.028125,DEF run m( WHILE c( leftIsClear c) w( turnLeft move IFELSE c( frontIsClear c) i( move i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( move e) e) move w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
102,0.05,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( putMarker i) w) w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
113,0.05625,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( putMarker i) w) w) IF c( noMarkersPresent c) i( putMarker i) putMarker m)
117,0.0625,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( putMarker i) w) w) IF c( noMarkersPresent c) i( pickMarker i) putMarker m)
137,0.06875,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( putMarker i) w) w) IF c( noMarkersPresent c) i( pickMarker i) REPEAT R=2 r( move r) m)
146,0.07500000000000001,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( putMarker i) w) w) IF c( noMarkersPresent c) i( pickMarker i) REPEAT R=15 r( move r) m)
654,0.078125,DEF run m( WHILE c( frontIsClear c) w( move putMarker turnLeft IF c( rightIsClear c) i( turnRight i) w) m)
965,0.096875,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) turnRight turnRight turnRight i) IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( move putMarker turnLeft IF c( rightIsClear c) i( turnRight i) w) i) m)
1241,0.103125,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move putMarker IF c( markersPresent c) i( putMarker i) w) w) WHILE c( not c( leftIsClear c) c) w( pickMarker w) m)
1658,0.1125,DEF run m( turnLeft IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( move putMarker turnLeft IF c( rightIsClear c) i( turnRight i) w) i) m)
2575,0.115625,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( move putMarker turnLeft IF c( rightIsClear c) i( turnRight i) w) IF c( frontIsClear c) i( turnRight move move turnRight i) w) WHILE c( frontIsClear c) w( pickMarker w) m)
2650,0.12187500000000002,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( move putMarker turnLeft IF c( rightIsClear c) i( turnRight i) w) IF c( frontIsClear c) i( turnRight move move turnRight move turnRight i) w) WHILE c( frontIsClear c) w( pickMarker w) m)
10318,0.13437500000000002,DEF run m( turnLeft turnRight turnRight WHILE c( leftIsClear c) w( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move putMarker w) turnLeft w) WHILE c( frontIsClear c) w( move putMarker turnLeft IF c( markersPresent c) i( turnLeft i) w) m)
16571,0.15,DEF run m( WHILE c( leftIsClear c) w( turnLeft move WHILE c( frontIsClear c) w( move putMarker IF c( noMarkersPresent c) i( putMarker i) w) w) WHILE c( frontIsClear c) w( move turnRight w) WHILE c( frontIsClear c) w( move w) turnRight move turnRight m)
