num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
20,0.011363636363636364,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) w) m)
35,0.017045454545454544,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=4 r( IF c( markersPresent c) i( pickMarker i) move r) w) m)
42,0.09659090909090909,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=4 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) w) m)
50,0.11363636363636363,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) w) m)
130,0.11931818181818181,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) w) m)
333,0.14204545454545453,DEF run m( move REPEAT R=9 r( turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnRight turnRight pickMarker r) m)
340,0.24999999999999994,DEF run m( move REPEAT R=9 r( turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnRight turnRight IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) r) m)
2273,0.30113636363636365,DEF run m( REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) r) move m)
4862,0.590909090909091,DEF run m( REPEAT R=11 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
4925,0.7272727272727273,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
4934,0.7272727272727275,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=16 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
4982,0.7670454545454548,DEF run m( REPEAT R=14 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
5044,0.8579545454545457,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
5291,0.8920454545454549,DEF run m( REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) move turnRight m)
5402,0.8977272727272732,DEF run m( REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) pickMarker turnRight m)
5733,1.0000000000000002,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) r) m)
