num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.027777777777777787,DEF run m( move IF c( markersPresent c) i( pickMarker i) m)
10,0.05555555555555557,DEF run m( REPEAT R=2 r( IF c( markersPresent c) i( pickMarker i) move r) m)
14,0.07465277777777779,DEF run m( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) move r) m)
23,0.09027777777777779,DEF run m( REPEAT R=7 r( IF c( markersPresent c) i( pickMarker i) move r) m)
45,0.3333333333333333,DEF run m( REPEAT R=7 r( turnRight IF c( frontIsClear c) i( move IF c( markersPresent c) i( pickMarker i) i) turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) r) m)
51,0.5555555555555556,DEF run m( REPEAT R=7 r( turnRight turnLeft turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) r) m)
87,0.6666666666666666,DEF run m( REPEAT R=7 r( turnRight turnRight turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) r) m)
5730,0.8888888888888892,DEF run m( IF c( frontIsClear c) i( IF c( markersPresent c) i( pickMarker i) i) WHILE c( leftIsClear c) w( turnLeft turnLeft turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) w) m)
5753,0.9375000000000002,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( leftIsClear c) w( turnLeft turnLeft turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) w) m)
5801,0.9444444444444446,DEF run m( IF c( not c( frontIsClear c) c) i( move i) WHILE c( leftIsClear c) w( turnLeft turnLeft turnRight WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) w) m)
7749,1.0000000000000002,DEF run m( IF c( frontIsClear c) i( turnLeft move move move i) WHILE c( rightIsClear c) w( IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnRight i) w) turnRight w) m)
