num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnRight m)
6,0.0625,DEF run m( move WHILE c( not c( rightIsClear c) c) w( turnRight move move move w) m)
66,0.125,DEF run m( move WHILE c( frontIsClear c) w( move putMarker w) turnLeft REPEAT R=2 r( WHILE c( frontIsClear c) w( move putMarker w) turnLeft WHILE c( frontIsClear c) w( move putMarker w) turnRight r) IF c( markersPresent c) i( pickMarker i) m)
4587,0.1875,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=3 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) putMarker r) w) m)
4671,0.25,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=15 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) putMarker r) w) m)
4735,0.375,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=19 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) putMarker r) w) m)
7393,0.5,DEF run m( REPEAT R=19 r( REPEAT R=19 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( not c( rightIsClear c) c) i( turnLeft i) ELSE e( turnRight e) putMarker r) r) m)
11935,0.5625,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=10 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) putMarker r) w) m)
13240,0.75,DEF run m( REPEAT R=17 r( WHILE c( frontIsClear c) w( move w) REPEAT R=17 r( IF c( markersPresent c) i( pickMarker i) IF c( frontIsClear c) i( move i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) putMarker r) r) m)
19833,1.0,DEF run m( move REPEAT R=4 r( REPEAT R=16 r( IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) putMarker r) turnRight r) turnRight m)
