num_evaluations,best_reward,best_program
1,0.0920138888888889,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
13,0.09548611111111112,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
29,0.10243055555555555,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
69,0.11979166666666664,DEF run m( IFELSE c( rightIsClear c) i( turnRight i) ELSE e( move e) IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
114,0.1284722222222222,DEF run m( IFELSE c( rightIsClear c) i( turnRight i) ELSE e( REPEAT R=3 r( move r) e) IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
119,0.16319444444444448,DEF run m( IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
238,0.17187500000000003,DEF run m( WHILE c( frontIsClear c) w( move turnLeft move REPEAT R=2 r( move r) w) IF c( frontIsClear c) i( move i) m)
320,0.2430555555555556,DEF run m( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( move i) IF c( noMarkersPresent c) i( putMarker i) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( turnRight e) w) IF c( frontIsClear c) i( move i) m)
395,0.31076388888888884,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( turnLeft e) w) IF c( frontIsClear c) i( move i) m)
420,0.5642361111111113,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( frontIsClear c) i( move i) m)
471,0.5659722222222224,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight move putMarker i) m)
507,0.5677083333333335,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight move turnRight move putMarker turnRight i) m)
551,0.5694444444444446,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight move turnRight move move turnRight i) m)
580,0.5711805555555558,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight REPEAT R=2 r( move r) turnRight move move turnRight i) m)
637,0.5729166666666669,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight REPEAT R=2 r( move r) turnRight move move move i) m)
647,0.5763888888888891,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( turnLeft e) w) IF c( rightIsClear c) i( turnRight REPEAT R=2 r( move r) turnRight REPEAT R=12 r( move r) move move i) m)
959,0.7031250000000002,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=2 r( IF c( frontIsClear c) i( move i) IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) r) w) REPEAT R=7 r( move r) turnRight move move turnRight m)
962,0.7065972222222224,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=2 r( IF c( frontIsClear c) i( move i) IF c( leftIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) r) w) turnRight turnRight move move turnRight m)
