num_evaluations,best_reward,best_program
1,0.0,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) WHILE c( not c( noMarkersPresent c) c) w( IFELSE c( noMarkersPresent c) i( move move putMarker pickMarker turnLeft turnLeft i) ELSE e( pickMarker e) REPEAT R=18 r( turnLeft putMarker move r) IFELSE c( markersPresent c) i( turnLeft pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move e) move WHILE c( frontIsClear c) w( move turnLeft move move w) w) i) m)
2,0.046875000000000014,DEF run m( REPEAT R=2 r( IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( turnLeft e) r) m)
10,0.08159722222222224,DEF run m( REPEAT R=2 r( REPEAT R=2 r( putMarker move r) WHILE c( markersPresent c) w( REPEAT R=2 r( pickMarker move r) w) IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( turnRight move e) r) m)
18,0.08506944444444445,DEF run m( REPEAT R=2 r( REPEAT R=2 r( putMarker move r) IF c( markersPresent c) i( pickMarker i) r) m)
22,0.14583333333333334,DEF run m( REPEAT R=2 r( REPEAT R=2 r( putMarker move r) turnLeft REPEAT R=5 r( move putMarker r) turnLeft REPEAT R=5 r( move putMarker r) REPEAT R=2 r( turnLeft move putMarker turnRight move putMarker r) r) m)
57,0.14756944444444445,DEF run m( REPEAT R=2 r( REPEAT R=2 r( putMarker move r) turnLeft REPEAT R=4 r( move putMarker r) turnLeft REPEAT R=5 r( move putMarker r) REPEAT R=2 r( turnLeft move putMarker turnRight move putMarker r) r) m)
82,0.16666666666666666,DEF run m( REPEAT R=2 r( REPEAT R=2 r( putMarker move r) turnLeft REPEAT R=4 r( move putMarker r) turnLeft move r) m)
91,0.18055555555555555,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=4 r( move putMarker r) turnLeft move r) m)
98,0.19965277777777782,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=4 r( move putMarker r) turnLeft REPEAT R=4 r( move putMarker r) r) m)
102,0.20486111111111116,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=3 r( move putMarker r) turnLeft REPEAT R=4 r( move putMarker r) r) m)
155,0.20833333333333337,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=3 r( move putMarker r) turnLeft REPEAT R=2 r( move putMarker r) r) m)
185,0.21180555555555558,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=3 r( move putMarker r) turnLeft REPEAT R=3 r( move putMarker r) r) m)
199,0.2135416666666667,DEF run m( REPEAT R=2 r( move putMarker turnLeft REPEAT R=4 r( move putMarker r) turnLeft REPEAT R=3 r( move putMarker r) r) m)
333,0.38888888888888906,DEF run m( REPEAT R=2 r( REPEAT R=3 r( IF c( frontIsClear c) i( move putMarker i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) r) m)
398,0.5243055555555556,DEF run m( REPEAT R=2 r( REPEAT R=4 r( IF c( frontIsClear c) i( move putMarker i) IF c( leftIsClear c) i( turnLeft move putMarker i) IF c( rightIsClear c) i( turnRight move putMarker i) r) r) m)
23009,0.5381944444444444,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft REPEAT R=4 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) REPEAT R=8 r( move IF c( noMarkersPresent c) i( putMarker i) r) m)
57216,0.5590277777777779,DEF run m( REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move w) IF c( leftIsClear c) i( turnLeft putMarker move putMarker i) IF c( rightIsClear c) i( turnRight move turnRight move putMarker i) r) turnLeft REPEAT R=4 r( move putMarker r) m)
57289,0.5659722222222223,DEF run m( REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move w) IF c( leftIsClear c) i( turnLeft putMarker move putMarker i) IF c( rightIsClear c) i( turnRight move turnRight putMarker i) r) turnLeft REPEAT R=4 r( move putMarker r) m)
