num_evaluations,best_reward,best_program
1,0.0,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) WHILE c( not c( noMarkersPresent c) c) w( IFELSE c( noMarkersPresent c) i( move move putMarker pickMarker turnLeft turnLeft i) ELSE e( pickMarker e) REPEAT R=18 r( turnLeft putMarker move r) IFELSE c( markersPresent c) i( turnLeft pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move e) move WHILE c( frontIsClear c) w( move turnLeft move move w) w) i) m)
84,0.003125,DEF run m( putMarker IF c( markersPresent c) i( pickMarker i) turnRight move m)
237,0.00625,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move move move w) WHILE c( leftIsClear c) w( move move move turnLeft w) move WHILE c( frontIsClear c) w( move turnLeft move move w) m)
239,0.009375000000000001,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move putMarker move move w) WHILE c( leftIsClear c) w( move move move turnLeft w) move WHILE c( frontIsClear c) w( move turnLeft move move w) m)
263,0.0125,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move putMarker move move w) WHILE c( leftIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) move turnLeft w) move WHILE c( frontIsClear c) w( move turnLeft move move w) m)
268,0.01875,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move putMarker move move w) WHILE c( leftIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) move turnLeft w) move WHILE c( noMarkersPresent c) w( move turnLeft move move w) m)
421,0.04375000000000001,DEF run m( REPEAT R=13 r( REPEAT R=2 r( IF c( frontIsClear c) i( move putMarker i) IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) r) r) m)
423,0.06562500000000002,DEF run m( REPEAT R=13 r( REPEAT R=3 r( IF c( frontIsClear c) i( move putMarker i) IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) r) r) m)
427,0.06875,DEF run m( REPEAT R=14 r( REPEAT R=3 r( IF c( frontIsClear c) i( move putMarker i) IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) r) r) m)
442,0.075,DEF run m( REPEAT R=14 r( REPEAT R=3 r( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) r) r) m)
502,0.09062499999999998,DEF run m( REPEAT R=14 r( REPEAT R=3 r( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( turnRight i) IF c( leftIsClear c) i( putMarker turnLeft move i) r) r) m)
760,0.090625,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) w) putMarker turnLeft move putMarker m)
902,0.09687500000000002,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move putMarker i) IF c( frontIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) w) putMarker turnLeft IF c( frontIsClear c) i( putMarker i) putMarker m)
957,0.10625000000000001,DEF run m( WHILE c( frontIsClear c) w( IF c( leftIsClear c) i( move putMarker i) IF c( frontIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft i) w) putMarker turnLeft IF c( frontIsClear c) i( putMarker i) putMarker m)
1328,0.125,DEF run m( turnRight WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) putMarker m)
1406,0.19374999999999998,DEF run m( putMarker WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) putMarker m)
1421,0.2125,DEF run m( putMarker WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) pickMarker m)
1474,0.21562499999999998,DEF run m( putMarker WHILE c( markersPresent c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) pickMarker m)
5946,0.221875,DEF run m( IF c( markersPresent c) i( turnLeft i) WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move putMarker WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) m)
5993,0.22187500000000002,DEF run m( putMarker WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move putMarker WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) m)
8263,0.2375,DEF run m( putMarker WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) move putMarker turnRight m)
8361,0.24687499999999996,DEF run m( putMarker WHILE c( markersPresent c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) move putMarker turnRight m)
12702,0.26875,DEF run m( putMarker WHILE c( frontIsClear c) w( move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) REPEAT R=4 r( move WHILE c( frontIsClear c) w( putMarker move putMarker w) turnRight r) w) putMarker turnLeft turnRight m)
