num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
36,0.011363636363636364,DEF run m( WHILE c( frontIsClear c) w( move w) IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( turnLeft WHILE c( frontIsClear c) w( move w) turnRight i) IF c( markersPresent c) i( pickMarker i) m)
43,0.017045454545454544,DEF run m( WHILE c( frontIsClear c) w( move w) IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( turnLeft move i) IF c( markersPresent c) i( pickMarker i) m)
60,0.022727272727272728,DEF run m( WHILE c( frontIsClear c) w( move w) IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( turnLeft move i) IF c( noMarkersPresent c) i( turnLeft move i) IF c( markersPresent c) i( pickMarker i) m)
114,0.02840909090909091,DEF run m( WHILE c( frontIsClear c) w( move w) IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( turnLeft move i) IF c( noMarkersPresent c) i( move i) IF c( markersPresent c) i( pickMarker i) m)
364,0.05681818181818183,DEF run m( move IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move w) IF c( noMarkersPresent c) i( turnLeft WHILE c( not c( markersPresent c) c) w( move w) i) IF c( markersPresent c) i( pickMarker i) m)
1846,0.0909090909090909,DEF run m( IF c( markersPresent c) i( pickMarker i) IF c( noMarkersPresent c) i( move turnRight move i) IF c( markersPresent c) i( pickMarker i) m)
1935,0.09659090909090909,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnLeft i) w) IF c( noMarkersPresent c) i( move turnRight move i) IF c( markersPresent c) i( pickMarker i) m)
2041,0.11931818181818181,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnRight i) w) IF c( noMarkersPresent c) i( move turnRight move i) IF c( markersPresent c) i( pickMarker i) m)
2266,0.15909090909090906,DEF run m( move turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnLeft i) w) i) m)
2274,0.1761363636363636,DEF run m( move turnRight IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnLeft i) w) i) m)
7730,0.18749999999999994,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( not c( leftIsClear c) c) i( turnRight i) w) m)
7757,0.3409090909090909,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( frontIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
10367,0.9488636363636365,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( not c( rightIsClear c) c) i( turnLeft i) IF c( rightIsClear c) i( turnRight i) w) m)
17134,1.0000000000000002,DEF run m( turnLeft turnRight IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) IF c( rightIsClear c) i( turnRight i) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) i) m)
