num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
49,0.03125,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move pickMarker e) w) i) m)
88,0.0625,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( turnLeft move pickMarker e) w) i) m)
253,0.09375,DEF run m( move WHILE c( noMarkersPresent c) w( move turnRight move turnRight w) pickMarker m)
305,0.15625,DEF run m( move WHILE c( noMarkersPresent c) w( turnRight turnRight move turnRight w) pickMarker m)
337,0.1875,DEF run m( move WHILE c( noMarkersPresent c) w( turnRight turnRight move WHILE c( frontIsClear c) w( turnLeft move turnLeft IF c( rightIsClear c) i( move i) w) w) pickMarker m)
380,0.21875,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( turnRight turnRight move WHILE c( frontIsClear c) w( turnLeft move turnLeft IF c( rightIsClear c) i( move i) w) w) pickMarker m)
428,0.28125,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( turnRight turnRight move WHILE c( frontIsClear c) w( turnLeft move w) w) pickMarker m)
771,0.34375,DEF run m( IF c( frontIsClear c) i( move i) turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( turnRight turnRight move WHILE c( frontIsClear c) w( turnRight move w) w) pickMarker m)
3114,0.46875,DEF run m( IF c( noMarkersPresent c) i( turnLeft turnLeft IF c( frontIsClear c) i( turnLeft i) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker i) m)
26358,0.5,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker turnLeft WHILE c( not c( markersPresent c) c) w( move w) putMarker turnLeft w) pickMarker m)
50677,0.59375,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) pickMarker turnLeft WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) w) putMarker m)
