num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
17,0.5555555555555556,DEF run m( WHILE c( markersPresent c) w( pickMarker IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) move e) w) m)
561,0.6666666666666666,DEF run m( turnLeft WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IF c( markersPresent c) i( pickMarker i) w) turnLeft w) turnLeft m)
3843,0.7135416666666671,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker move IF c( noMarkersPresent c) i( move i) IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move w) i) ELSE e( move e) turnLeft move w) m)
3937,0.7187500000000003,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker move IF c( noMarkersPresent c) i( turnLeft i) IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( move w) i) ELSE e( move e) turnLeft move w) m)
4554,0.8888888888888892,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnLeft pickMarker i) w) turnLeft w) m)
8428,0.9444444444444446,DEF run m( turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) turnLeft w) turnLeft pickMarker move turnRight pickMarker m)
12469,0.9479166666666671,DEF run m( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnLeft pickMarker move turnRight turnLeft i) w) turnLeft w) m)
12501,0.9513888888888891,DEF run m( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( turnLeft pickMarker move turnLeft i) w) turnLeft w) m)
12591,0.9791666666666667,DEF run m( turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) turnLeft w) m)
12597,0.9895833333333335,DEF run m( turnLeft move IF c( markersPresent c) i( pickMarker i) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) turnLeft w) m)
12660,0.9947916666666669,DEF run m( turnLeft move pickMarker move turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) turnLeft w) m)
15435,1.0000000000000002,DEF run m( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker i) w) turnLeft move turnLeft move turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move IF c( markersPresent c) i( pickMarker turnLeft i) w) turnLeft w) m)
