num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.027777777777777787,DEF run m( putMarker WHILE c( frontIsClear c) w( move w) m)
18,0.03298611111111111,DEF run m( WHILE c( leftIsClear c) w( turnRight move turnLeft turnLeft w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
22,0.050347222222222224,DEF run m( WHILE c( leftIsClear c) w( turnLeft w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
27,0.05381944444444445,DEF run m( turnRight WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
38,0.10243055555555557,DEF run m( IF c( rightIsClear c) i( turnRight putMarker i) WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
52,0.10937499999999997,DEF run m( IF c( leftIsClear c) i( turnRight IFELSE c( frontIsClear c) i( putMarker turnRight i) ELSE e( turnRight e) turnRight i) WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
75,0.11979166666666667,DEF run m( IF c( leftIsClear c) i( turnRight IFELSE c( leftIsClear c) i( putMarker turnRight i) ELSE e( turnRight e) turnRight i) WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( turnRight move putMarker w) m)
101,0.15451388888888892,DEF run m( IF c( leftIsClear c) i( turnRight IFELSE c( leftIsClear c) i( putMarker turnRight i) ELSE e( turnRight e) turnRight i) WHILE c( frontIsClear c) w( move putMarker w) WHILE c( not c( frontIsClear c) c) w( turnRight move putMarker w) m)
996,0.15625,DEF run m( IF c( frontIsClear c) i( turnLeft turnLeft WHILE c( frontIsClear c) w( move w) IFELSE c( leftIsClear c) i( putMarker turnRight i) ELSE e( turnRight e) turnRight i) WHILE c( frontIsClear c) w( move putMarker w) m)
1008,0.16666666666666666,DEF run m( IF c( frontIsClear c) i( move turnLeft WHILE c( frontIsClear c) w( move w) IFELSE c( leftIsClear c) i( putMarker turnRight i) ELSE e( turnRight e) turnRight i) WHILE c( frontIsClear c) w( move putMarker w) m)
3492,0.1684027777777778,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnRight turnLeft move putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker w) i) ELSE e( turnRight WHILE c( markersPresent c) w( move w) REPEAT R=4 r( putMarker move r) turnLeft putMarker e) m)
4004,0.19444444444444448,DEF run m( putMarker IFELSE c( noMarkersPresent c) i( move putMarker i) ELSE e( WHILE c( frontIsClear c) w( move putMarker w) WHILE c( markersPresent c) w( turnLeft move w) turnLeft WHILE c( frontIsClear c) w( move putMarker w) e) m)
4491,0.23090277777777782,DEF run m( WHILE c( frontIsClear c) w( turnLeft REPEAT R=1 r( putMarker move r) turnRight REPEAT R=7 r( WHILE c( markersPresent c) w( turnLeft move putMarker turnRight move move w) r) turnRight w) move putMarker m)
4551,0.26909722222222227,DEF run m( WHILE c( frontIsClear c) w( turnLeft REPEAT R=1 r( putMarker move r) turnRight REPEAT R=7 r( WHILE c( markersPresent c) w( turnLeft move putMarker turnRight move putMarker move w) r) turnRight w) move putMarker m)
5931,0.27256944444444453,DEF run m( turnLeft WHILE c( frontIsClear c) w( putMarker move putMarker WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( move putMarker w) w) turnRight WHILE c( frontIsClear c) w( move putMarker w) m)
6684,0.2795138888888889,DEF run m( turnLeft WHILE c( frontIsClear c) w( turnLeft putMarker WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( move putMarker w) w) turnRight WHILE c( frontIsClear c) w( move putMarker w) m)
6698,0.3142361111111112,DEF run m( turnLeft putMarker WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( move putMarker w) m)
7334,0.3246527777777779,DEF run m( move putMarker turnRight WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) turnRight WHILE c( frontIsClear c) w( move putMarker w) w) m)
10842,0.40798611111111116,DEF run m( REPEAT R=4 r( turnRight WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( move w) r) move m)
10886,0.43576388888888895,DEF run m( REPEAT R=4 r( turnRight WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( move w) r) turnRight move move putMarker m)
10900,0.5468750000000001,DEF run m( REPEAT R=4 r( turnRight WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( move w) r) turnRight move REPEAT R=4 r( putMarker move r) turnLeft putMarker m)
14506,0.5781250000000003,DEF run m( REPEAT R=5 r( turnLeft WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( move w) r) m)
18998,0.6770833333333334,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker w) turnRight move turnRight move w) move putMarker i) m)
73957,0.7083333333333336,DEF run m( turnLeft turnRight REPEAT R=5 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker w) turnRight move turnRight move w) r) move m)
74076,0.7708333333333333,DEF run m( move turnRight REPEAT R=5 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker w) turnRight move turnRight move w) r) move m)
82278,0.8333333333333334,DEF run m( move REPEAT R=5 r( turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker turnLeft WHILE c( frontIsClear c) w( move putMarker w) turnRight move turnRight move w) r) move m)
