num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
54,0.003125,DEF run m( IF c( not c( markersPresent c) c) i( putMarker i) WHILE c( frontIsClear c) w( move IF c( not c( markersPresent c) c) i( putMarker i) w) turnLeft IF c( frontIsClear c) i( move i) m)
124,0.00625,DEF run m( IF c( not c( markersPresent c) c) i( putMarker i) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft IF c( frontIsClear c) i( move i) m)
135,0.021875,DEF run m( IF c( not c( markersPresent c) c) i( putMarker i) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) m)
141,0.021875000000000002,DEF run m( IF c( not c( rightIsClear c) c) i( putMarker i) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) m)
399,0.090625,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) putMarker turnLeft w) m)
924,0.09062500000000002,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( move w) turnRight w) m)
1024,0.10625000000000001,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight putMarker move w) m)
1600,0.11875000000000001,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) turnLeft move turnLeft REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) putMarker turnLeft move move r) move REPEAT R=12 r( move move turnLeft r) m)
2583,0.12187500000000001,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) putMarker turnLeft move move r) w) WHILE c( frontIsClear c) w( move w) m)
2975,0.13125000000000003,DEF run m( turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) turnRight WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight putMarker move w) move m)
