num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
45,0.011363636363636364,DEF run m( move pickMarker move move m)
191,0.017045454545454544,DEF run m( REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move w) r) pickMarker move move m)
252,0.0909090909090909,DEF run m( REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) pickMarker move move m)
259,0.10227272727272727,DEF run m( REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) pickMarker move pickMarker m)
2675,0.10795454545454547,DEF run m( move REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) pickMarker IFELSE c( leftIsClear c) i( move turnRight i) ELSE e( turnRight turnLeft e) WHILE c( frontIsClear c) w( turnRight move move turnLeft w) pickMarker m)
2680,0.11931818181818184,DEF run m( move REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) pickMarker IFELSE c( leftIsClear c) i( move turnRight i) ELSE e( turnRight turnLeft e) WHILE c( noMarkersPresent c) w( turnRight move move turnLeft w) pickMarker m)
2736,0.14204545454545453,DEF run m( move REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) pickMarker IFELSE c( leftIsClear c) i( move turnRight i) ELSE e( turnRight turnLeft e) WHILE c( noMarkersPresent c) w( turnRight move turnLeft w) pickMarker m)
6148,0.15340909090909088,DEF run m( move WHILE c( rightIsClear c) w( WHILE c( noMarkersPresent c) w( turnRight move turnLeft w) pickMarker WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move w) w) w) move move m)
12977,0.15909090909090906,DEF run m( move turnRight move pickMarker REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move w) IF c( frontIsClear c) i( turnLeft pickMarker move i) turnLeft r) move m)
12984,0.1647727272727272,DEF run m( move turnRight move pickMarker REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move w) IF c( leftIsClear c) i( turnLeft pickMarker move i) turnLeft r) move m)
29803,0.17045454545454541,DEF run m( WHILE c( frontIsClear c) w( move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker REPEAT R=12 r( WHILE c( noMarkersPresent c) w( move w) IF c( leftIsClear c) i( turnLeft pickMarker move i) turnLeft r) w) m)
72140,0.18181818181818177,DEF run m( move WHILE c( rightIsClear c) w( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) turnLeft w) pickMarker WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move w) w) w) move m)
72142,0.18749999999999994,DEF run m( move WHILE c( rightIsClear c) w( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) turnLeft w) pickMarker WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) w) w) move m)
72192,0.2784090909090909,DEF run m( move WHILE c( rightIsClear c) w( WHILE c( noMarkersPresent c) w( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) turnLeft w) pickMarker WHILE c( leftIsClear c) w( turnRight w) w) move m)
