num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
18,0.0625,DEF run m( IF c( frontIsClear c) i( turnLeft i) IF c( rightIsClear c) i( turnRight move pickMarker i) IF c( markersPresent c) i( move move i) m)
26,0.09375,DEF run m( IF c( markersPresent c) i( turnLeft i) IF c( rightIsClear c) i( turnRight move pickMarker i) IF c( markersPresent c) i( move move i) m)
2586,0.125,DEF run m( turnRight move IF c( markersPresent c) i( pickMarker turnRight move move i) WHILE c( frontIsClear c) w( move pickMarker move move w) m)
4465,0.15625,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=7 r( turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker r) w) m)
4529,0.1875,DEF run m( WHILE c( rightIsClear c) w( REPEAT R=7 r( turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker r) w) m)
10154,0.25,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( move i) turnLeft turnRight IF c( not c( frontIsClear c) c) i( turnLeft i) WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) pickMarker pickMarker pickMarker m)
10160,0.3125,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( move i) turnLeft turnRight IF c( rightIsClear c) i( turnLeft i) WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) pickMarker pickMarker pickMarker m)
10175,0.46875,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) turnLeft turnRight IF c( rightIsClear c) i( turnLeft i) WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) pickMarker pickMarker pickMarker m)
35850,0.5,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) turnLeft IF c( frontIsClear c) i( move turnRight i) IF c( rightIsClear c) i( turnLeft i) WHILE c( not c( rightIsClear c) c) w( turnLeft w) w) pickMarker m)
